Name,Phone,Email,Website,Category
GENERAL MOTOR DEALER,"012-369 2020, 012-369 2000",N/A,N/A,N/A
CALDERYS SOUTH AFRICA (PTY) LTD,"016-440 6409, 016-440 6400",N/A,N/A,N/A
TSHEPANG FUNERAL UNDERTAKERS,"011-736 9850, 011-736 9519",N/A,N/A,N/A
"MARY POPPIN""S CHILDREN CENTRE","086-575 5495, 087-802 5709",marypop@mwed.co.za,N/A,N/A
ACADEMY DRIVING SCHOOL,"011-834 4231, 011-834 4234",N/A,N/A,N/A
FAHRENHEIT SEAFOOD &GRILL,"011-021 6223, 011-452 9710",N/A,N/A,N/A
"A.MBULIS OFSPRING CONSTRUCTION,PROJECTS",084 661 8853,20@mtn.co.za,N/A,N/A
DIY DEPORT KRUGERSDORP,"011-660 4734, 011-660 9153",N/A,N/A,N/A
EVENING STAR CONSTRUCTION,084 845 8834,psgrobbelaar@vodamail.co.za,N/A,N/A
SUSTAINABLE ENERGY SOCIETY SOUTHERN AFRICA,011-513 4071,office@sessa.org.za,N/A,N/A
MAKITI WEDDING & FUNCTION CENTRE,"011-662 4907, 011-662 43-904",info@makiti.co.za,N/A,N/A
LIONIZE CONSULTING,"086-512 0029, 011-039 0495",N/A,N/A,N/A
REMAX AGENTS,"011-476 4019, 011-476 7029",N/A,N/A,N/A
ADVANCE ENGINEERING & PANEL MANUFACTURES (PTY) LTD,"086-545 9878, 011-869 2751",N/A,N/A,N/A
REMAX  2000,"011-476 4019, 011-476 7029, 083 654 7766","sharonkeyter@gmail.com, sharon@remax2000.co.za",N/A,N/A
VOLVO (SOUTHERN AFRICA) (PTY) LTD,011-842 5000,sharon.pillay@volvo.co.za,N/A,N/A
IMPERIAL TOYOTA A DIVISION OF IMPERIAL GROUP (PTY) LTD,"011-276 0652, 011-276 0700",AFERREIA@IMPERIALTOYOTA.CO.ZA,N/A,N/A
SJ CAPITAL (JOHANNESBURG),"011-303 8808, 011-303 8800",jhb@sjcapitalgroup.com,N/A,N/A
STRIPPERS EXTRAVAGANZA,"086-519 0247, 011-794 1994",N/A,N/A,N/A
N.V CONSTRUCTION,"011-849 9797, 011-849 1843",vilarinho@telkomsa.net,N/A,N/A
KISMET SUPPLY STORE,"021-761 0825, 021-797 8804",N/A,N/A,N/A
HOT POT PLUMBING & BUILDING SUPPLIES,"011-869 5073, 011-907 8676",N/A,N/A,N/A
S A CONTINER DEPORT (PTY) LTD,"011-405 2000, 011-613 1502",websever@sacd.co.za,N/A,N/A
CIDA CITY CAMPUS,"011-887 4495, 011-440 8952",N/A,N/A,N/A
MATTHEW GONIWE SCHOOL OF LEADERSHIP,"011-830 2200, 011-830 2207",N/A,N/A,N/A
SIYAYA SKILLS INSTITUTE (PTY) LTD,"011-493 9698, 011-493 9706",N/A,N/A,N/A
VHEMBE FET COLLEGES,"015-963 3492, 015-963 3491",N/A,N/A,N/A
MSUKULIGWA MUNICIPALITY,"017-801 3851, 017-801 3500",N/A,N/A,N/A
HAIR OPTIONS,"011-234 6501, 011-234 6509",N/A,N/A,N/A
PALMAR HOTEL,"011-974 7735, 011-392 5506",N/A,N/A,N/A
MERCURE HOTEL (BEDFORDVIEW),"011-622 1556, 011-622 8725",N/A,N/A,N/A
MUSUKULIGWA MUNICIPALITY,017-801 3576,mzane@musukwalikwa.gov.co.za,N/A,N/A
JACOBS TRANSPORT,"086-692 6386, 011-434 0157",N/A,N/A,N/A
EXCLUSIVE GETAWAYS,"011-803 8669, 011-807 0417",N/A,N/A,N/A
ZENZELE FUNERAL HOME,"086-698 1568, 013-699 9101",N/A,N/A,N/A
SAMBRA (SOUTH AFRICAN MOTOR BODY REPAIRS ASSOCIATION),011-886 6300,riana.faurie@mi.org.za,N/A,N/A
ALL PLUMBING,011-802 0666,letstalkplumbing@ymail.com,N/A,N/A
MASERUMULE INC,"011-486 4013, 011-486 3081",goody@maserumuleinc.co.za,N/A,N/A
MANICA SOUTH AFRICA,"011-417 5500, 086-646 4806",info@manica-africa.com,N/A,N/A
LANDELALAHNI WORK FORCE MANAGEMENT,"011-750 9536, 011-442 0923",pasneemm@landelalahni.co.za,N/A,N/A
LIMORIDE,"072 373 7133, 082 966 8113",limorite@gmail.com,N/A,N/A
ROYAL BUS & TRUCK TYRES,013 656 1158,royaltyreswitbank@gmail.com,N/A,N/A
GEZA BATHROOM & KITCHEN UNITS,"011-622 2004, 011-622 2372",geza@icon.co.za,N/A,N/A
HAMMOND POLE ATTORNEYS,"011-874 1800, 011-823 5099",N/A,N/A,N/A
SAVYCOR TRADING,"084 716 7672, 086-651 7355",intombi.domestics@webmail.co.za,N/A,N/A
L.M BUILDING CONSTRUCTION,078 812 7475,mahachileonard@gmail.com,N/A,N/A
ORION HOTEL DEVONSHIRE,011-339 5611,N/A,N/A,N/A
NOMAM,011-461 1300,hord@nomadsa.co.za,N/A,N/A
C.W.T AQUARUIS SHIPPING INTERNATIONAL (PTY) LTD,011-658 0339,Vanessadippenaar@cwtasi.com,N/A,N/A
KUEHNE & NAGEL (PTY) LTD,011-574 7000,N/A,N/A,N/A
ALEE MASSEL ESTATE (PTY) LTD,"011-917 3285, 086-615 1660",PROPERTIES@ALEMASSEL.CO.ZA,N/A,N/A
A & A CONTAINERS,"011-794 6571, 011-794 6577",N/A,N/A,N/A
CAPE UNION MART (PTY) LTD,"041-537 3651, 086-627 1309",waterfall@capeunionmart.co.za,N/A,N/A
"ORION HOTEL (The DevonshireBraamfontein, Johannesburg, Gauteng)",11 339 5611,N/A,N/A,N/A
"ORION HOTEL (Velmoré Hotel EstateErasmia, Centurion, Gauteng)","11 403 1218, 12 370 7000, 086 199 1199",N/A,N/A,N/A
SPECIALISED FREIGHT SERVICES CC,011-251 0000,deidre@sfssa.net,N/A,N/A
MIA'S NEST GUEST HOUSE,"011-314 1877, 011-314 5192",N/A,N/A,N/A
GARY PLUMBERS,011-056 4951,GARY@GMAIL.COM,N/A,N/A
HARCOURTS ANCHOR,"011-894 6218, 011-918 2002",N/A,N/A,N/A
GENERAL MAN HIRE,011-660 1743,N/A,N/A,N/A
FORMULA 1 HOTEL,"012-323 8325, 012-323 8331",N/A,N/A,N/A
BUDGET WINDOW COVERINGS,011-432 3421,N/A,N/A,N/A
BAKEBERG BLINDS CC,011-837 1161,N/A,N/A,N/A
THE FACILITATOR,012-644 2901,N/A,N/A,N/A
T & H FREIGHT,011-744 0626,thfreight@telkomsa.net,N/A,N/A
B-ONE HOLDINGS,"086-100 8009, 012-664 4127",N/A,N/A,N/A
UNITRANS FUEL & CHEMICAL (PTY) LTD,011-869 8400,JENNY.ROGERS@UNITRANS.CO.ZA,N/A,N/A
SHIPPING & GENERAL TRANSPORT SERVICES (PTY) LTD,"011-873 4786, 011-873 6066",admin@shippingandgeneral.co.za,N/A,N/A
LAND AND SEA SHIPPING (PTY) LTD,"011-679 1651, 011-679 1655",N/A,N/A,N/A
S.D.D FREIGHT,"011-390 1854, 011-390 1883",donald@sddcargo.com,N/A,N/A
JMB BUILDING CONSTRUCTION & CLEANING,011-036 5833,imb@exclusivemail.co.za,N/A,N/A
UNITED MARITINE LOGISTICS,"011-452 5657, 011-452 4880",eben@unimar.co.za,N/A,N/A
A & D ROOFERS & HOME RENOVATIONS,"011-477 9467, 011-534 1873",adroofers@telkomsa.net,N/A,N/A
SUB-CONTRACTORS,072 363 6568,amisa.koopman@yahoo.com,N/A,N/A
EFFECTIVE BLINDS & AWNINGS CC,"011-818 2167, 011-818 3982",N/A,N/A,N/A
3 PEAKS CONSTUCTION,"086-661 7415, 082 776 1846",dirkmyb@webmail.co.za,N/A,N/A
KHAYALETHU PROJECTS & CONSTRUCTIONS,073 036 3392,N/A,N/A,N/A
CJ BUILDING CONSTRUCTION,083 990 5430,admin@cjbuilding.co.za,N/A,N/A
BUDGET CAR RENTAL,"086-101 6622, 011-398 0097",N/A,N/A,N/A
AMANZI OKUPHILA CONSTRUCTION & ENTERPRISES,"011-931 5376, 073 168 8809",mahlanguabel@gmail.com,N/A,N/A
STRIJDOM PARK VOLKSAGEN,"011-791 7964, 011-795 5000",N/A,N/A,N/A
INTERBILT TRUCK REPAIRS,"011-964 2355, 011-964 1108",tammy@interbilt.com,N/A,N/A
EURO BRIDE,"086-500 7676, 012-997 3421",info@eurobride.co.za,N/A,N/A
SKIN & BODY CLINIC,011-795 2264,skinandbody@mweb.co.za,N/A,N/A
RINO HORN KUSTOMZ,"086-607 2961, 072 444 8043",sbumwelase@gmail.com,N/A,N/A
WEDDING & THINGS,011-849 0550,weddingsandthings@telkomsa.net,N/A,N/A
DR JOHN MILLER,"011-728 6718, 011-728 5014",johanthanmiller@telkomsa.net,N/A,N/A
RAILWAY SAFETY REGULATOR,"011-417 0000, 011-417 0010",N/A,N/A,N/A
360 EASTWOODS GUEST HOUSE,"086-619 5746, 012-430 4009",info@360eastwoodsguesthouse.co.za,N/A,N/A
PARIS BELT (PTY) LTD,"011-334 1870, 011-334 1516",N/A,N/A,N/A
AIRPORT GRAND HOTEL CONFERENCE CENTRE,"011-823 2194, 011-823 1843",N/A,N/A,N/A
MABANA PRE-PRIMARY,011-261 8687,N/A,N/A,N/A
PRESTIGE PARTS WORLD,"011-834 6850, 011-836 5411",zora.ppw@gmail.com,N/A,N/A
MERCURE HOTEL (MIDRAND),"011-312 2020, 011-312 2055",N/A,N/A,N/A
TOPNET PROPERTIES,"014-533 3801, 041-533 3692",toprust@mweb.co.za,N/A,N/A
HOTHAKEL CC,"086-544 4748, 011-023 7881",N/A,N/A,N/A
TONY'S CAR HIRE,"011-975 8081, 011-975 8071",boss@sacarhire.co.za,N/A,N/A
GALLERY CLEARING,"011-830 2767, 086-528 5694",N/A,N/A,N/A
ALLMED MEDICAL SUPPLIES RENTALS (PTY) LTD,"011-640 5266, 011-640 5262",N/A,N/A,N/A
SOUTHERN SUN,"011-783 2004, 011-884 5660",linarl@southernsun.com,N/A,N/A
CENTRA-MAC REFRIGERATION & AIRCONDITIONING SERVICES (PTY) LTD,"011-397 1024, 011-397 1039",info@centromac.co.za,N/A,N/A
MAJINGA CONSULTING CC,"011-685 0740, 011-884 4497",cynthia@majinga.co.za,N/A,N/A
KEKE HAIR KREATIONS,011-970 2533,kekehairkreations@gmail.com,N/A,N/A
ORANGE GROVE VETERINARY HOSPITAL,"086-684 4994, 011-728 1371",N/A,N/A,N/A
VIP STYLISH HAIR STUDIO,"011-958 0397, 011-958 2632",N/A,N/A,N/A
ATLAS PLUMBING,"011-660 4072, 011-665 3706, 072 635 9222",cechen@telkomsa.net,N/A,N/A
TRIO PLUMBING,"086-685 2816, 011-766 3064",N/A,N/A,N/A
ST FRANCIS VETERINARY HOSPITAL,"011-453 8525, 011-453 8384",N/A,N/A,N/A
MERCURY STREET VETERINARY HOSPITAL,"011-894 6628, 086-260 6227",mercurystreet@gmail.com,N/A,N/A
BAKENKOP VETERINARY CLINIC/DIERE KLINIEK,"012-653 4353, 012-653 4474",N/A,N/A,N/A
ASTOM COURIER SERVICES,"011-624 0808, 011-618 3613",N/A,N/A,N/A
FLORIDA VETERINARY HOSPITAL,"011-679 1042, 086-684 3161",N/A,N/A,N/A
VET DELI,"011-318 0046, 011-318 0043",N/A,N/A,N/A
BOSKRUIN VETERINARY CLINIC,"011-792 0482, 086-594 2622",N/A,N/A,N/A
EASTERN VETERINARY HOSPITAL,"011-394 9717, 011-970 1684",N/A,N/A,N/A
XPS FREIGHT,"013-752 1000, 013-752 1006",N/A,N/A,N/A
WATER SHED COLLEGE,013-752 6917,info@watershedschool.co.za,N/A,N/A
TREO PLUMBING & PAINTING,074 325 7774,TONGANY@GMAIL.COM,N/A,N/A
BEAUTY WE GO CC,011-783 8454,sales@beautywego.com,N/A,N/A
JURI BEAUTY PARLOUR,011-802 4668,JURITIOUNS@GMAIL.COM,N/A,N/A
THERABEAUTIC SKIN & BODY CLINIC,011-803 4411,sandy@therabeautics.co.za,N/A,N/A
LENGENDS HAIR DESIGN,011-452 2355,attla@telkomsa.net,N/A,N/A
REBECCA'S BEAUTY SALON,011- 706 8164,REBECCAKUMALO.M@GMAIL.COM,N/A,N/A
VAN NIEKERK NJ DR,"016-427 1023, 016-428 5005",N/A,N/A,N/A
RANDHART VETERINARY CLINIC,"011-864 4755, 011-908 4812",N/A,N/A,N/A
FAIRDEALS HARDWARE,"086-671 5530, 011-339 2932",N/A,N/A,N/A
DE KLERKS MICA HARDWARE,"016-932 3175, 016-931 1550",N/A,N/A,N/A
BUILDERS EXPRESS,"011-793 6110, 086-686 1754",N/A,N/A,N/A
MICA MORNING GLEN,"011-802 2926, 011-802 2638",N/A,N/A,N/A
PINEHAVEN BRICK CENTRE,"011-662 2461, 086-593 3927",N/A,N/A,N/A
UNLIMITED BUILDING SUPPLIES SA (PTY) LTD,011-402 4006,N/A,N/A,N/A
MEGA MICA (EAST GATE),"011-616 4129, 011-622 6237",N/A,N/A,N/A
DIY DEPOT DOUGLASDALE,"011-704 6742, 011-704 4725",N/A,N/A,N/A
ESSENTIAL HARDWARE GROUP,"011-434 2362, 086-601 2839",N/A,N/A,N/A
JACKS PAINT & HARDWARE (ORANGE GROVE),"011-640 6850, 011-640 5067",N/A,N/A,N/A
JAYEN MICA HARDWARE,"011-873 8799, 011-825 5030",N/A,N/A,N/A
BLACK STAR SECURITY SERVICES & TRAINING CC,011-336 0960,N/A,N/A,N/A
ALL GROUND SECURITY SERVICES,"076 659 0637, 086-623 6909",N/A,N/A,N/A
T C M,"011-848 6000, 011-848 6106",N/A,N/A,N/A
KUKHANYA TECHNOLOGIES,"011-425 0066, 011-425 0577",N/A,N/A,N/A
MALUMO CONSULTING & PROJECTS (PTY) LTD,"072 936 5645, 086-231 5558",N/A,N/A,N/A
J R PARTY HIRE CC,"011-453 6550, 086-563 4791",lian@jrhire.co.za,N/A,N/A
LONRHO LOGISTICS (PTY) LTD,"011-571 0800, 011-975 1542",bernards@pca.co.za,N/A,N/A
ARGUS FREIGHT,"011-396 1896, 011-396 2011",shannon@argusfreight.com,N/A,N/A
SEBENZA FORWARDING SHIPPING (PTY) LTD,"011-970 3638, 011-571 0600",tmaloka@sebenza.co.za,N/A,N/A
TEST-A-RELAY,"012-665 0545, 012-665 0549",parco@test-a-relay.co.za,N/A,N/A
MEINTJES FENCING (PTY) LTD,"011-769 1440, 011-769 1449",N/A,N/A,N/A
DIY DEPOY BERGBRON,"011-477 6022, 011-477 7485",pa1@diyberg.co.za,N/A,N/A
SPEED CONTROL TECHNOLOGY,"011-613 1224, 011-623 1240",brandon@speedcontrol.co.za,N/A,N/A
TALISMAN HIRE EDENVALE,"011-453 3999, 011-453 2882",edenvale@talsman.co.za,N/A,N/A
KEA KAMPERS,"086-754 0470, 011-230 5000",ZUBEIDA@THRILSTY.CO.ZA,N/A,N/A
BEM MEDICAL,"011-312 9292, 011-312 9265",info@bemmedical.co.za,N/A,N/A
AAA LOCKSMITHS,"011-869 9915, 011-907 3168",N/A,N/A,N/A
SWAT ELECTRICAL,"011-442 7385, 011-442 7341",N/A,N/A,N/A
NORTH & EAST ELECTRICIAN,073 259 6184,fortunelectrical@gmail.com,N/A,N/A
KNOWLEDGE ELECTRICAL,074 715 4765,benmuroiwa@gmail.com,N/A,N/A
URBAN ESCAPE,011-706 9822,urban@telkomsa.net,N/A,N/A
LANDELAHNI BUSINESS LEADERS,11 750 9536,N/A,N/A,N/A
LANDELAHNI PROFESSIONAL & TECHNICAL APPOINTMENTSS,11 750 9536,N/A,N/A,N/A
LANDELAHNI WORKFORCE MANAGEMENT,11 750 9536,N/A,N/A,N/A
LANDELAHNI ASSESSMENTS,11 750 9536,N/A,N/A,N/A
LANDELAHNI LEADERSHIP DEVELOPMENT,11 750 9536,N/A,N/A,N/A
CONSOLIDATED AUTO (PTY) LTD,"011-918 6930, 011-306 2000",N/A,N/A,N/A
COLOUR CITY PLUMBING ELECTRICAL & HARDWARE SUPPLIES,"011-435 8134, 011- 435 8134",N/A,N/A,N/A
SWITCH ELECTRICAL SUPPLIES,"082 814 4447, 086-571 6301, 011-824 4220, 011-827 5103",robwsmit@vodamail.co.za,N/A,N/A
SKIN & BODY CLINIC.,011-795 2264,N/A,N/A,N/A
TRANSVAAL INSULATION PAINTING CONTRACTORS,"011- 740 9956, 011-744 4981",trips@adsamail.co.za,N/A,N/A
ABC AUTOPARTS,"011-976 3080, 011-976 5531",sales@abcautoparts.co.za,N/A,N/A
WALL ZONE CC,"011-886 4689, 011-886 2119",mfix@mweb.co.za,N/A,N/A
CITY 2 CITY ELECTRONICS,"011-815 3667, 011-815 3665",city2cityelectronics@hotmail.com,N/A,N/A
INTERBILT TRUCK REPAIRS.,"011-964 2355, 011-964 1108",tammy@interbilt.com,N/A,N/A
STRIJDOM PARK VOLKSWAGEN,"011-791 7964, 011-795 5000",N/A,N/A,N/A
BARMASTER,011-314 1631,barmaster@erc.co.za,N/A,N/A
FLOOR DIRECT STRUBENS VALLEY,"011-475 7311, 011-675 5990",N/A,N/A,N/A
I.C NISSAN (BENONI),"011-845 1640, 011-845 2320",N/A,N/A,N/A
R&S TIMNBER & HARDWARE,011-818 4747,rstimber02@gmail.com,N/A,N/A
4 WAY MAINTENANCE SERVICES CC,"086-516 9039, 011-902 6286",morehen@telkomsa.net,N/A,N/A
SPARTAN MOTOR ENGINEERING,"011-975 5077, 011 975 6735",N/A,N/A,N/A
DENNES ENGINEERING,"021-511 6041, 021-511 6051",fazlin@dennes.co.za,N/A,N/A
HAUPTFLEISCH ATTORNEYS,"011-782 2221, 011-782 2432",N/A,N/A,N/A
CENTURION STAAL (PTY) LTD,"012-653 6476, 012-653 6475",N/A,N/A,N/A
CINEVATION (PTY) LTD,"011-329 0603, 011-329 0600",margie@cinevation.co.za,N/A,N/A
DAMPCON,"011-824 4265, 086-073 3872",dampconbr@mweb.co.za,N/A,N/A
TUV RHEINLAND GROUP SA,"012-667 7700, 086-620 2851",N/A,N/A,N/A
SAY MAGIC MANUFACTURING CC,"011-872 1997, 011-872 1444",N/A,N/A,N/A
MODEL ENGINEERING,"016-341 3870, 086-646 5661",sales@modeleng.co.za,N/A,N/A
HENTER MOTOR ENGINEERING,"016-422 5581, 016-421 1784",ELIZE@HENTER.CO.ZA,N/A,N/A
DR JONATHAN MILLER,"011-728 6718, 011-728 5014",johanthanmiller@telkomsa.net,N/A,N/A
WIMPY-ARCON PARK,016-428 2380,rmuller@webmail.co.za,N/A,N/A
WATER WORLD,"011-704 1669, 011-462 4390",wendyannm@cmh.co.za,N/A,N/A
STONE-STAMCOR (PTY) LTD,"011-452 1415, 011-452 1499",N/A,N/A,N/A
DE KLERKS MICA HARDWARE.,"016-932 3175, 016-931 1550",N/A,N/A,N/A
SA PALLET CRATED BOX CC,"086-297 7788, 011-887 6225",admin@sapallet.co.za,N/A,N/A
AFRISAM,"011-670 5793, 011-670 5500",N/A,N/A,N/A
LCM SKIN & LASER CLINIC,012-346 5363,skinandlaserclinic@iburst.co.za,N/A,N/A
SUNSQUARE MONTE CASINO,"011-557 7019, 011-557 7007",priya.bhikha@tsogosun.com,N/A,N/A
MERCURE HOTEL MIDRAND,"011-312 2020, 011-312 2055",H2917@ACCOR.COM,N/A,N/A
FILQUIp ENGINEERING,"011-616 7320, 011-616 2225",sales@filquip.co.za,N/A,N/A
