Name,Phone,Email,Website,Category,Listing_URL,Date_Posted
Business Partners,Not available,Not available,Not available,Financial Services,https://sabusinessintegrator.co.za/directory/business-partners/,"September 27, 2023"
Business Unity SA (BUSA),+27 011 784 8000,Not available,Not available,Business,https://sabusinessintegrator.co.za/directory/ready-resort-for-sell/,"September 27, 2023"
C Track,+27860333444,Not available,Not available,Vehicles & Fleet,https://sabusinessintegrator.co.za/directory/c-track/,"September 28, 2023"
Cape Town International Convention Centre,+27 02 141 0500,Not available,Not available,Venue,https://sabusinessintegrator.co.za/directory/cape-town-international-convention-centre/,"September 27, 2023"
Citiq Prepaid,087 551 1155,Not available,Not available,Prepaid Meters,https://sabusinessintegrator.co.za/directory/citiq-prepaid/,"September 27, 2023"
CMC Networks,011 517 8400,Not available,Not available,Internet Service,https://sabusinessintegrator.co.za/directory/cmc-networks/,"September 27, 2023"
Commercial Transport Academy,011 396 2480,Not available,Not available,Education,https://sabusinessintegrator.co.za/directory/commercial-transport-academy/,"September 28, 2023"
Dry Ice Blasting,+27 012 810 0500,Not available,Not available,Other,https://sabusinessintegrator.co.za/directory/the-bungalow/,"September 27, 2023"
Dust-A-Side,+27 (0)12 648 8900,Not available,Not available,Road Safety,https://sabusinessintegrator.co.za/directory/dust-a-side/,"November 21, 2023"
Egoli Gas,011 356 5000,Not available,Not available,Oil & Gas,https://sabusinessintegrator.co.za/directory/egoli-gas/,"September 27, 2023"
Electrolux,+27 11 897 4600,Not available,Not available,Appliances,https://sabusinessintegrator.co.za/directory/electrolux/,"September 28, 2023"
Elite Risk Acceptance,Not available,Not available,Not available,Banking,https://sabusinessintegrator.co.za/directory/elite-risk-acceptance/,"September 27, 2023"
Enlit Africa,+27 021 700 3500 / 3512,Not available,Not available,Event,https://sabusinessintegrator.co.za/directory/gary-danko/,"September 27, 2023"
Fenns Incoporated,+27 (0)86 10 FENNS (33667),Not available,Not available,Chartered Accountants,https://sabusinessintegrator.co.za/directory/fenns-incoporated/,"September 28, 2023"
Frederique Contant Geneve,+41 (0)22 860 04 40,Not available,Not available,Other,https://sabusinessintegrator.co.za/directory/frederique-contant-geneve/,"September 28, 2023"
Frontier Accounting and Secretarial Services,012 425 5000,Not available,Not available,Accounting Services,https://sabusinessintegrator.co.za/directory/frontier-accounting-and-secretarial-services/,"September 28, 2023"
Harmony,+27 11 411 2000,Not available,Not available,Mining,https://sabusinessintegrator.co.za/directory/harmony/,"September 27, 2023"
Hitachi,Not available,Not available,Not available,Mining,https://sabusinessintegrator.co.za/directory/jack-restaurant/,"September 27, 2023"
i-Gen,+27 010 006 0157,Not available,Not available,Manufacturers,https://sabusinessintegrator.co.za/directory/i-gen/,"September 27, 2023"
Imperial,Not available,Not available,Not available,Logistics,https://sabusinessintegrator.co.za/directory/imperial/,"September 27, 2023"
Interview Me,Not available,Not available,Not available,Internet Service,https://sabusinessintegrator.co.za/directory/interview-me/,"September 28, 2023"
Invincible Valves,011-822-1777,Not available,Not available,Industrial Equipment,https://sabusinessintegrator.co.za/directory/invincible-valves/,"September 28, 2023"
Ithuba,011 346 6000,Not available,Not available,Financial Services,https://sabusinessintegrator.co.za/directory/ithuba/,"September 28, 2023"
iX Engineers,Not available,Not available,Not available,Engineers,https://sabusinessintegrator.co.za/directory/ix-engineers/,"September 27, 2023"
Lawyered UP,+27 72 699 9012,Not available,Not available,Legal Services,https://sabusinessintegrator.co.za/directory/lawyered-up/,"September 28, 2023"
Learn Me,012 942 5072,Not available,Not available,Education,https://sabusinessintegrator.co.za/directory/learn-me/,"September 28, 2023"
Mazi Asset Management,+27 010 001 8300,Not available,Not available,Investments,https://sabusinessintegrator.co.za/directory/mazi-asset-management/,"September 27, 2023"
Metro Prepaid,Not available,Not available,Not available,Electronics,https://sabusinessintegrator.co.za/directory/metro-prepaid/,"September 27, 2023"
MiTek,011 237 8700,Not available,Not available,Manufacturers,https://sabusinessintegrator.co.za/directory/mitek/,"September 27, 2023"
MiWay,086 064 6464,Not available,Not available,Insurance,https://sabusinessintegrator.co.za/directory/miway/,"September 28, 2023"
Mix Telematics,+27116548000,Not available,Not available,Software,https://sabusinessintegrator.co.za/directory/mix-telematics/,"September 28, 2023"
MMA Design Studio,011 880 1170/71,Not available,Not available,Architecture,https://sabusinessintegrator.co.za/directory/mma-design-studio/,"September 28, 2023"
Molefe Dlepu Inc,+2711616005,Not available,Not available,Legal Services,https://sabusinessintegrator.co.za/directory/molefe-dlepu-inc/,"September 28, 2023"
Mont Blanc,Not available,Not available,Not available,Business,https://sabusinessintegrator.co.za/directory/mont-blanc/,"September 27, 2023"
MSC Cruises,+27 11 844 6073,Not available,Not available,Cruise Lines,https://sabusinessintegrator.co.za/directory/msc-cruises/,"September 28, 2023"
MTN SA Foundation,Not available,Not available,Not available,Internet Service,https://sabusinessintegrator.co.za/directory/mtn-sa-foundation/,"September 27, 2023"
MTS Holdings,010 595 3895,Not available,Not available,Software,https://sabusinessintegrator.co.za/directory/mts-holdings/,"September 27, 2023"
Nashua,+27 11 232 8000,Not available,Not available,Supplies,https://sabusinessintegrator.co.za/directory/nashua/,"September 28, 2023"
NMG Benefits,+27 011 509 3000,Not available,Not available,Financial Services,https://sabusinessintegrator.co.za/directory/nmg-benefits/,"September 27, 2023"
Nova Property Group,012 425 500,Not available,Not available,Real Estate,https://sabusinessintegrator.co.za/directory/nova-property-group/,"September 27, 2023"
Ocean Group,021 410 1453,Not available,Not available,Business,https://sabusinessintegrator.co.za/directory/ocean-group/,"September 28, 2023"
Omnipresent,010 035 0585,Not available,Not available,Business,https://sabusinessintegrator.co.za/directory/omnipresent/,"September 28, 2023"
Omron South Africa,011 579 2600,Not available,Not available,Electronics,https://sabusinessintegrator.co.za/directory/omron-south-africa/,"September 27, 2023"
ORSCO,+27 010 446 5703,Not available,Not available,Other,https://sabusinessintegrator.co.za/directory/orsco/,"September 27, 2023"
Payspace,+27 87 210 3000,Not available,Not available,Electronics,https://sabusinessintegrator.co.za/directory/payspace/,"September 27, 2023"
Pearson,021 532 6000,Not available,Not available,Education,https://sabusinessintegrator.co.za/directory/pearson/,"September 28, 2023"
Petroleum Agency,+ 27 21 938 3500,Not available,Not available,Oil & Gas,https://sabusinessintegrator.co.za/directory/petroleum-agency/,"September 28, 2023"
PPC Cement,+27 (0)11 386 9000,Not available,Not available,Cement,https://sabusinessintegrator.co.za/directory/ppc-cement/,"September 28, 2023"
Pratley,011 955 2190,Not available,Not available,Manufacturers,https://sabusinessintegrator.co.za/directory/pratley/,"September 27, 2023"
Probe MIT,+27 086 111 3507,Not available,Not available,Mining,https://sabusinessintegrator.co.za/directory/holiday-luxury-house/,"September 27, 2023"
Proudly SA,+27 11 327 7778,Not available,Not available,NGO's,https://sabusinessintegrator.co.za/directory/proudly-sa/,"September 27, 2023"
Quazar,0217012371,Not available,Not available,Marketing,https://sabusinessintegrator.co.za/directory/quazar/,"September 27, 2023"
Rentokill Initial,086 000 0473,Not available,Not available,Pest Control,https://sabusinessintegrator.co.za/directory/rentokill-initial/,"September 27, 2023"
Rhodes University,+27 46 603 8111,Not available,Not available,Education,https://sabusinessintegrator.co.za/directory/rhodes-university/,"September 28, 2023"
Rooibos Limited,+27 027 482 2155,Not available,Not available,Manufacturers,https://sabusinessintegrator.co.za/directory/rooibos-limited/,"September 27, 2023"
RSA Web,0874700000,Not available,Not available,Internet Service,https://sabusinessintegrator.co.za/directory/rsa-web/,"September 27, 2023"
RSA Web,0874700000,Not available,Not available,Internet Service,https://sabusinessintegrator.co.za/directory/rsa-web-2/,"September 28, 2023"
SABS,0861 277 227,Not available,Not available,Business,https://sabusinessintegrator.co.za/directory/sabs/,"September 28, 2023"
SAKHUMNOTHO Group Holdings,+27 (11) 242 8000,Not available,Not available,Financial Services,https://sabusinessintegrator.co.za/directory/sakhumnotho-group-holdings/,"September 28, 2023"
Sankofa Insurance,:+27 11 025 6566,Not available,Not available,Insurance,https://sabusinessintegrator.co.za/directory/sankofa-insurance/,"September 27, 2023"
SARTSMA,082 322 5208,Not available,Not available,Road Safety,https://sabusinessintegrator.co.za/directory/sartsma/,"September 27, 2023"
SEACOM,+27 861 855 855,Not available,Not available,Internet Service,https://sabusinessintegrator.co.za/directory/seacom/,"September 28, 2023"
Select PPE,+27 011 296 3600,Not available,Not available,Safety Equipment,https://sabusinessintegrator.co.za/directory/select-ppe/,"September 27, 2023"
Sentech,0860 736 832,Not available,Not available,Electronics,https://sabusinessintegrator.co.za/directory/sentech/,"September 28, 2023"
Shelf Company Warehouse,086-123-8899,Not available,Not available,Business,https://sabusinessintegrator.co.za/directory/shelf-company-warehouse/,"September 28, 2023"
Silkuni Importers & Distributors,011 3340018,Not available,Not available,Distributors,https://sabusinessintegrator.co.za/directory/silkuni-importers-distributors/,"September 28, 2023"
Skills Train Distribution,Not available,Not available,Not available,Suppliers,https://sabusinessintegrator.co.za/directory/skills-train-distribution/,"September 27, 2023"
SME Warrior,Not available,Not available,Not available,Business,https://sabusinessintegrator.co.za/directory/sme-warrior/,"September 28, 2023"
Smile Foundation,+27 010 753 3037,Not available,Not available,Non-Profit Organisation,https://sabusinessintegrator.co.za/directory/smile-foundation/,"September 27, 2023"
Sol Plaatjie University,053 491 0000,Not available,Not available,Education,https://sabusinessintegrator.co.za/directory/sol-plaatjie-university/,"September 27, 2023"
Solotek,071 214 4650,Not available,Not available,Solar,https://sabusinessintegrator.co.za/directory/solotek/,"September 27, 2023"
South African Medical Research Council,+27 021 938 0911,Not available,Not available,Uncategorized,https://sabusinessintegrator.co.za/directory/south-african-medical-research-council/,"September 27, 2023"
Stiebel Eltron,011 493 6910,Not available,Not available,Industrial Equipment,https://sabusinessintegrator.co.za/directory/stiebel-eltron/,"September 27, 2023"
Sumitomo Rubber SA,031 242 1111,Not available,Not available,Other,https://sabusinessintegrator.co.za/directory/sumitomo-rubber-sa/,"September 27, 2023"
Sun International,+27 11 780 7855,Not available,Not available,Hotels,https://sabusinessintegrator.co.za/directory/sun-international/,"September 27, 2023"
The Institute of Internal Auditors SA,011 450 1040,Not available,Not available,Institutions,https://sabusinessintegrator.co.za/directory/the-institute-of-internal-auditors-sa/,"September 27, 2023"
The Simah Group,012 663 1853,Not available,Not available,Uncategorized,https://sabusinessintegrator.co.za/directory/simah/,"November 10, 2023"
The South African Institute of Chartered Accountants,+27 90 11 621 6600,Not available,Not available,Institutes & Associations,https://sabusinessintegrator.co.za/directory/the-south-african-institute-of-chartered-accountants/,"September 27, 2023"
Transformation Legacy,010 023 0508,Not available,Not available,Business,https://sabusinessintegrator.co.za/directory/transformation-legacy/,"September 28, 2023"
TUHF,010 595 9000,Not available,Not available,Financial Services,https://sabusinessintegrator.co.za/directory/tuhf/,"September 28, 2023"
Twinstar Precast,012 670 9083,Not available,Not available,Cement,https://sabusinessintegrator.co.za/directory/twinstar-precast/,"September 28, 2023"
Ubank,086 000 8322,Not available,Not available,Banking,https://sabusinessintegrator.co.za/directory/ubank/,"September 28, 2023"
UCT Law @ Work,Not available,Not available,Not available,Institutes & Associations,https://sabusinessintegrator.co.za/directory/global-university/,"September 27, 2023"
University of Johannesburg,+27 (0) 11 559 4555,Not available,Not available,Education,https://sabusinessintegrator.co.za/directory/university-of-johannesburg/,"September 27, 2023"
University of the Free State,051 401 2823,Not available,Not available,Education,https://sabusinessintegrator.co.za/directory/university-of-the-free-state/,"September 27, 2023"
VEGA,+27 11 795 3249,Not available,Not available,Industrial Equipment,https://sabusinessintegrator.co.za/directory/vega/,"September 28, 2023"
Vodacom Business,Not available,Not available,Not available,Internet Service,https://sabusinessintegrator.co.za/directory/vodacom-business/,"September 27, 2023"
Xpatweb,+27 1 1467 0810,Not available,Not available,Visa,https://sabusinessintegrator.co.za/directory/xpatweb/,"September 27, 2023"
Yes 4 Youth,087 330 0084,Not available,Not available,Youth,https://sabusinessintegrator.co.za/directory/yes-4-youth/,"September 28, 2023"
