Name,Telephone,Fax,Cell,Address,Email,Website,Services
ULTRA LIQUORS (PTY) LTD – VICTORIA KRUGERSDORP,011 665 1396,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – VEREENIGING,016 004 0144,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – VANDERBIJLPARK,016 933 2500,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – VAAL,016 933 7242,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – STEELEDALE,011 623 2916,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – SPRINGS,011 362 1874,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – SOUTHDALE,011 433 1102,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – ROCKCOTTAGE,011 794 5297,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – RIETFONTEIN MULLERSDRIFT,011 957 5961,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – REMBRANDT,011 665 1525,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – PRETORIA WEST,012 327 4613,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – PRETORIA NORTH,083 620 3149,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – PRESIDENT KRUGERSDORP,011 660 6131,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – PAUL KRUGER,012 335 2780/ 1,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – PARKVIEW,011 486 2584,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – ORANGEFARM,011 730 8075,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – MEYERSPARK,012 803 4292,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – MAYVILLE,012 335 0946/ 7,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – MALVERN,011 615 7371,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – HAZELWOOD,012 460 6012,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – EASTLEIGH,011 452 6790,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – CORLETT,011 887 1001/ 2,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – CARLETONVILLE ONYX ROAD,018 786 2883,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – CARLETONVILLE ANNAN ROAD,018 788 5907,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – BRAKPAN,011 744 4595,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
Not available,011 742 1045/ 011742 1051,011 742 1018,Not available,Not available,info@ebda.co.za,www.ebda.co.za,Not available
POLYOAK PACKAGING (PTY) LTD – HEAD OFFICE,Not available,Not available,Not available,Not available,Not available,Not available,Not available
POLYOAK PACKAGING (PTY) LTD – MANUFACTURING & DISTRIBUTION,Not available,Not available,Not available,Not available,info@polyoak.co.za,www.polyoakpackaging.co.za,MANUFACTURING AND DISTRIBUTION
POLYOAK PACKAGING (PTY) LTD – SALES WAREHOUSE,Not available,Not available,Not available,Not available,info@polyoak.co.za,www.polyoakpackaging.co.za,SALES WAREHOUSE
POLYOAK PACKAGING (PTY) LTD – SALES WAREHOUSE,Not available,Not available,Not available,Not available,info@polyoak.co.za,www.polyoakpackaging.co.za,SALES WAREHOUSE
"ORION HOTEL (Katse LodgeKatse Dam, LESOTHO)",Not available,Not available,Not available,Not available,Not available,Not available,Not available
"ORION HOTEL (Mohale LodgeMohale Dam, LESOTHO)",Not available,Not available,Not available,Not available,Not available,Not available,Not available
EVENT ORGANISERS,011 8059350 Fax: 011 8059356,Not available,Not available,Not available,info@dng.co.za,http://www.dng.co.za,Not available
GASKETS,Not available,Not available,Not available,Not available,gasketman@mweb.co.za,Not available,Not available
Gas,Not available,Not available,Not available,Not available,tim@redlionworx.com,http://www.redlionworx.co.za,Not available
Surface Mining Process Equipment,Not available,Not available,Not available,Not available,info@komatsu.co.za,http://www.komatsu.co.za,Not available
Cleaning Services,Not available,Not available,Not available,Not available,pwelchman@fedics.co.za,http://www.tsebo.co.za,Not available
Burglar Proofing,Not available,Not available,Not available,Not available,sales@maxidor.co.za,http://www.maxidor.co.za,Not available
LABOUR LAW MANAGEMENT CONSULTING,Not available,Not available,Not available,Not available,ivan@labourlawadvice.co.za,www.labourlawadvice.co.za,Not available
