Business Name,Description,Possible Address,Phone Numbers,Emails,Websites
Maxidor (Pty) Ltd,"ADDRESS:Maxim Hse, 76 Concorde Rd, Bedfordview, Johannesburg, 2008
TEL:  0861 752656
WWW.MAXIDOR.CO.ZA
TRADE HEADINGS


Expandable barriers
Window barriers
Welded gates
Custom barriers
Roller shutters.","76 Concorde Rd, Bedfordview, Johannesburg, 2008
TEL; 0861 752656
WWW.MAXIDOR.CO.ZA
TRADE HEADINGS


Expandable barriers
Window barriers
Welded gates
Custom barriers
Roller shutters.",0861 752656,,
ENDRES ATTORNEYS,"ADDRESS:MENLYN SQUARE,116 LOUIS AV,MENLYN,PRETORIA,GAUTENG
TEL:012-348 5905
FAX:021-348 9316
TRADE HEADINGS
ATTORNEYS","116 LOUIS AV,MENLYN,PRETORIA,GAUTENG
TEL; 348 5905
FAX; 348 9316
TRADE HEADINGS
ATTORNEYS","012-348 5905, 021-348 9316",,
EAST RAND FUNERAL SERVICES DIRECTORS,"ADDRESS:2-14TH AV,NORTHMEAD,BENONI,GAUTENG
TEL:011-425 0276
FAX:011-425 1941
TRADE HEADING
FUNERAL DIRECTORS AND UNDERTAKERS","425 0276
FAX; 425 1941
TRADE HEADING
FUNERAL DIRECTORS AND UNDERTAKERS","011-425 0276, 011-425 1941",,
GENERAL IMPORT-EXPORT (AFRICA),"ADDRESS:35 KOSTER STREET,BOOYSENS,JOHNNESBURG,GAUTENG,2091
TEL:011-4934775
FAX:011-4991201
TRADE HEADING
BATHROOM FITTINGS & ACCESSORIES","35 KOSTER STREET,BOOYSENS,JOHNNESBURG,GAUTENG,2091
TEL; 4934775
FAX; 4991201
TRADE HEADING
BATHROOM FITTINGS ","011-4934775, 011-4991201",,
House Of Monatic,"ADDRESS:33 Smith St, 302 Durban Bay Hse, Durban 
Phone:031 3054626
TRADE HEADING
Clothing Mfrs","33 Smith St, 302 Durban Bay Hse, Durban 
Phone; 031 3054626
TRADE HEADING
Clothing Mfrs",,,
BUSINESS PARTNERS (EAST RAND BOKSBURG),"ADDRESS:BLOCK B,LEFT WING,GROUND FLOOR,CLEARWATER OFFICE PARK,2 PARK ROAD,CNR ATLAS ROAD,PARKHAVEN EXT 8,BOKSBURG 1459 
POSTAL ADDRESS:P O BOX 17019,ATLASVILLE 1465
TEL:011-395 4150
FAX:011-359 2565
TRADE HEADING
INVESTING CAPITAL","2 PARK ROAD,CNR ATLAS ROAD,PARKHAVEN EXT 8,BOKSBURG 1459 
POSTAL ADDRESS; 1465
TEL; 395 4150
FAX; 359 2565
TRADE HEADING
INVESTING CAPITAL","011-395 4150, 011-359 2565",,
BUSINESS PARTNERS (JOHANNESBURG) HEAD OFFICE,"ADDRESS:37 WEST STREET,HOUGHTON ESTATE,JOHANNESBURG 2198
POSTAL ADDRESS:P O BOX 7780,JOHANNESBURG 2000
TEL:011-713 6600
FAX:011-713 6650 / 011-713 6653
TRADE HEADING
INVESTING CAPITAL & RISK FINANCIER","37 WEST STREET,HOUGHTON ESTATE,JOHANNESBURG 2198
POSTAL ADDRESS; 2000
TEL; 713 6600
FAX; 713 6650 ; 713 6653
TRADE HEADING
INVESTING CAPITAL ","011-713 6600, 011-713 6650",,
BUSINESS PARTNERS (WEST RAND),"ADDRESS:BERGZICHT OFFICE PARK,UNIT 19,CNR CHRISTIAAN DE WET & ROOIBOK STREET ALLENSNEK,ROODEPOORT,1730
TEL:011-679 1110
FAX:011-679 1310
TRADE HEADING
INVESTING CAPITAL & RISK FINANCIER","1730
TEL; 679 1110
FAX; 679 1310
TRADE HEADING
INVESTING CAPITAL ","011-679 1110, 011-679 1310",,
CAKE FLORA,"ADDRESS:26ANGUS CT,EDENVALEGAUTENG
TEL:011-608 4141
FAX:011-608 4150
TRADE HEADING
BAKERS & CONFECTIONERS SUPPLIERS","608 4141
FAX; 608 4150
TRADE HEADING
BAKERS ","011-608 4141, 011-608 4150",,
LENASIA VOLKWAGEN,"ADDRESS:CORNER NIVRVANA DRIVE,1243,TRADE ROUTE MALL,LENASIA,GAUTENG 
TEL:011-213 7600
FAX:011-213 7636
EMAIL: yusus@lenasiavw.co.za 
WEBSITE:WWW.LENASIAVW.CO.ZA
TRADE HEADING
MOTOR VEHICLE DISTRIBUTORS","213 7600
FAX; 213 7636
EMAIL","011-213 7600, 011-213 7636",yusus@lenasiavw.co.za,
M E E (PTY) LTD,"ADDRESS:109 SAMUEL EVANS ROAD,AEROTON,JOHANNESBURG,GAUTENG
TEL:011-494 3220
FAX:011-494 2207
EMAIL:info@mee.co.za
WEBSITE:WWW.MEE.CO.ZA
TRADE HEADING
MANUFACTURERS OF HIGH FREQENCY WELDING EQUIPMENT & ULTRASONIC PLASTICS","109 SAMUEL EVANS ROAD,AEROTON,JOHANNESBURG,GAUTENG
TEL; 494 3220
FAX; 494 2207
EMAIL","011-494 3220, 011-494 2207",info@mee.co.za,
MAKAULA ZILWA INC,"ADDRESS:GRAYSTON RIDGE OFFICE PARK,144 KATHERINE STREET,SANDON,GAUTENG,2196
TEL:011-262 0840
FAX:011-262 0790
TRADE HEADING
ATTORNEYS","144 KATHERINE STREET,SANDON,GAUTENG,2196
TEL; 262 0840
FAX; 262 0790
TRADE HEADING
ATTORNEYS","011-262 0840, 011-262 0790",,
GEZA BATHROOM & UNITS,"ADDRESS:501 JUES STREET MALVERN,JOHANNESBURG,2094
TEL:011-622 2004
FAX:011-622 2372
EMAIL:geza@icon.co.za
TRADE HEADING
BATHROOM FITTINGS & ACCESSORIES","501 JUES STREET MALVERN,JOHANNESBURG,2094
TEL; 622 2004
FAX; 622 2372
EMAIL","011-622 2004, 011-622 2372",geza@icon.co.za,
INTERNATIONAL SLABS SALES-HEAD OFFICE,"ADDRESS:69 SERENADE ROAD,ELANDSFONTEIN,GERMISTON,GAUTENG
TEL:011-822 1350
FAX:011-822 1701
EMAIL:info@interslab.co.za
TRADE HEADING
WHOLESALE SUPPLIERS OF GRANITE,MARBLE & ENGENEERED STONE SURFACE","69 SERENADE ROAD,ELANDSFONTEIN,GERMISTON,GAUTENG
TEL; 822 1350
FAX; 822 1701
EMAIL","011-822 1350, 011-822 1701",info@interslab.co.za,
AUTO BAHN MOTORS,"ADDRESS:NO 1 GEELHOUT AVENUE,PAULPIETERSBURG,GAUTENG
TEL:034-995 1644
FAX:034-995 1476
EMAIL:erich@autobahn.co.za
TRADE HEADING
general motor car agents","1 GEELHOUT AVENUE,PAULPIETERSBURG,GAUTENG
TEL; 995 1644
FAX; 995 1476
EMAIL","034-995 1644, 034-995 1476",erich@autobahn.co.za,
MARKALAO RECRUITMENT CC,"ADDRESS:18 SWALLOW PLACE,ALBEMARLE,GAUTENG
TEL:011-902 2590
FAX:086-558 2813
EMAIL:langa@markalaorecruitment.co.za
TRADE HEADING
RECRUITMENT","18 SWALLOW PLACE,ALBEMARLE,GAUTENG
TEL; 902 2590
FAX; 558 2813
EMAIL","011-902 2590, 086-558 2813",langa@markalaorecruitment.co.za,
RAUMIX (PTY) LTD,"ADDRESS:SAMRAND AVENUE,THE REEDS,CENTURION,GAUTENG,0061
TEL:012-652 0107
FAX:012-652 0111
TRADE HEADING
SAND AND STONE SUPPLIERS","0061
TEL; 652 0107
FAX; 652 0111
TRADE HEADING
SAND AND STONE SUPPLIERS","012-652 0107, 012-652 0111",,
CORICRAFT (BOKSBURG),"ADDRESS:SHOP A3 EAST RAND RETAIL PARK ,NORTH RAND ROAD ,BOKSBURG 
011 918 7899 (Tel) 
011 918 7897 (Fax) 
EMAIL:ermanager@coricraft.co.za 
TRADE HEADING
FURNITURE MANUFACTURERS AND RETAIL","3 EAST RAND RETAIL PARK ,NORTH RAND ROAD ,BOKSBURG 
011 918 7899 ; 011 918 7897 ",,ermanager@coricraft.co.za,
CORICRAFT (CLEARWATER),"ADDRESS:SHOP UN 082 CLEARWATER MALL ,CNR HENDRICK POTGIETER & CHRISTIAAN ,DE WET RD ,STRUBENSVALLEY ,ROODEPOORT 
011 991 5300 (Tel) 
011 475 0254 (Fax) 
EMAIL:clmanager@coricraft.co.za 
TRADE HEADING
FURNITURE MANUFACTURERS AND RETAIL","082 CLEARWATER MALL ,CNR HENDRICK POTGIETER ; 011 991 5300 ; 011 475 0254 ",,clmanager@coricraft.co.za,
CORICRAFT (CRESTA),"ADDRESS:SHOP L20 CRESTA SHOPPING CENTRE,CNR BEYERS NAUDE & WELTEVREDEN RD ,RANDBURG GAUTENG 2194 
011 431 3253 (Tel) 
011 431 2970 (Fax) 
EMAIL:csmanager@coricraft.co.za 
TRADE HEADING
FURNITURE MANUFACTURERS AND RETAIL","20 CRESTA SHOPPING CENTRE,CNR BEYERS NAUDE ; 2194 
011 431 3253 ; 011 431 2970 ",,csmanager@coricraft.co.za,
CORICRAFT (DESIGN QUARTER),"ADDRESS:SHOP 24, DESIGN QUARTER ,CNR WILLIAM NICOL & LESLIE ROAD ,FOURWAYS 
011 465 6385 (Tel) 
011 465 6128 (Fax) 
EMAIL:dqmanager@coricraft.co.za 
TRADE HEADING
FURNITURE MANUFACTURERS AND RETAIL",011 465 6385 ; 011 465 6128 ,,dqmanager@coricraft.co.za,
CORICRAFT (EAST GATE),"ADDRESS:SHOP L73 ,CNR BRADFORD & NICOL ROAD ,BEDFORDVIEW 
011 615 2085 (Tel) 
011 615 2092 (Fax) 
EMAIL:egmanager@coricraft.co.za
TRADE HEADING
FURNITURE MANFACTURERS AND RETAIL","73 ,CNR BRADFORD ; 011 615 2085 ; 011 615 2092 ",,egmanager@coricraft.co.za,
CORICRAFT (FOURWAYS),"ADDRESS:SHOP L16, FOURWAYS SHOPPING CENTRE,1899 WITTKOPPEN ROAD ,FOURWAYS 
011 465 3595 (Tel) 
011 465 5782 (Fax) 
EMAIL:fwmanager@coricraft.co.za 
TRADE HEADING
FURNITURE MANUFACURERS AND RETAIL","1899 WITTKOPPEN ROAD ,FOURWAYS 
011 465 3595 ; 011 465 5782 ",,fwmanager@coricraft.co.za,
CORICRAFT (MORNINGSIDE),"ADDRESS:MORNINGVIEW SHOPPING CENTRE ,SOUTH ROAD (1 KM OFF RIVIONA ROAD,MORNINGSIDE ,SANDTON 
011 884 2277 (Tel) 
011 884 1349 (Fax) 
EMAIL:mvmanager@coricraft.co.za 
TRADE HEADING
FURNITURE MANUFACTURERS AND RETAIL","1 KM OFF RIVIONA ROAD,MORNINGSIDE ,SANDTON 
011 884 2277 ; 011 884 1349 ",,mvmanager@coricraft.co.za,
CORICRAFT (SANDTON),"ADDRESS:SHOP U100 ,SANDTON CITY ,CNR RIVONIA & SANDTON DRIVE SANDTON 
011 784 0150 (Tel) 
011 784 1639 (Fax) 
EMAIL:scmanager@coricraft.co.za 
TRADE HEADING
FURNITURE MANUFACTURERS AND RETAIL","100 ,SANDTON CITY ,CNR RIVONIA ; 011 784 0150 ; 011 784 1639 ",,scmanager@coricraft.co.za,
CORICRAFT (THE GLEN),"ADDRESS:U27 THE GLEN SHOPPING CENTRE,CNR ORPEN & LETABA STREET,OAKDENE
TEL;011-436 8700
FAX:011-435 0145
EMAIL:tgmanager@coricraft.co.za 
TRADE HEADING
FURNITURE MANUFACTURERS AND RETAIL","27 THE GLEN SHOPPING CENTRE,CNR ORPEN ; 436 8700
FAX; 435 0145
EMAIL",011-435 0145,tgmanager@coricraft.co.za,
CORICRAFT (WOODMEAD),"ADDRESS:1 WATERFALL CREASENT,SHOP 33 WOODMEAD
TEL:011-656 9590
FAX:011-656 9682
EMAIL:wmmanager@coricraft.co.za 
TRADE HEADING
FURNITURE MANUFACTURERS AND RETAIL","1 WATERFALL CREASENT,SHOP 33 WOODMEAD
TEL; 656 9590
FAX; 656 9682
EMAIL","011-656 9590, 011-656 9682",wmmanager@coricraft.co.za,
DENOON SAMPSON HDLOVU INC.,"ADDRESS:NORWICH CLOSE,5TH STREET,SANDTON,GAUTENG
TEL: 011-666 9600
EMAIL:andrew@denoon.co.za
TRADE HEADING
ATTORNEYS","666 9600
EMAIL",011-666 9600,andrew@denoon.co.za,
FIRE SECURE SYSTEMS CC,"ADDRESS:20 OLDENS WAY,CALVIN,SANDTON,GAUTENG
TEL:011-802 4358
FAX:011-802 4357
EMAIL:fss@faagroup.co.za
WEBSITE:www.fire-secure.co.za
TRADE HEADING
ACCESS CONTROL EQUIPMENT & SUPPLIES","20 OLDENS WAY,CALVIN,SANDTON,GAUTENG
TEL; 802 4358
FAX; 802 4357
EMAIL","011-802 4358, 011-802 4357",fss@faagroup.co.za,
MUON ELECTRONICS CC,"ADDRESS:36,6TH ROAD,HYDE PARK,GAUTENG
TEL:011-325 6134
FAX:011-325 6134
EMAIL:ghdawes@africa.com
TRADE HEADING
TAXI METERS","325 6134
FAX; 325 6134
EMAIL","011-325 6134, 011-325 6134",ghdawes@africa.com,
MICROSOLVE CC,"ADDRESS:231 BOOYSENS ROAD,SELBY,JOHANNESBURG,GAUTENG 2001
TEL:011-493 5110
FAX:011-493 5114
EMAIL:microsolve@icon.co.za
TRADE HEADING
TAXI METERS","231 BOOYSENS ROAD,SELBY,JOHANNESBURG,GAUTENG 2001
TEL; 493 5110
FAX; 493 5114
EMAIL","011-493 5110, 011-493 5114",microsolve@icon.co.za,
INDUSTRIAL ACID PROOFING (PTY) LTD,"ADDRESS:23 MOPEDI ROAD ,SEBENZA,EDENVALE,GAUTENG
POSTAL ADDRESS:PO BOX 1756 EDENVALE
TEL:011-452 4104
FAX:011-452 6988
EMAIL:INFO@IAPSA.CO.ZA
WEBSITE:WWW.IAPSA.CO.ZA
TRADE HEADING
ACID PROOFING","23 MOPEDI ROAD ,SEBENZA,EDENVALE,GAUTENG
POSTAL ADDRESS; 1756 EDENVALE
TEL; 452 4104
FAX; 452 6988
EMAIL","011-452 4104, 011-452 6988",INFO@IAPSA.CO.ZA,
SA POWER SERVICE (JOHANNESBURG),"ADDRESS:UNIT 14,   MEADOWBROOK,BUS PARK,RANDBURG,JOHANNESBURG
TEL:011-462 8810
FAX:011-704 5775
EMAIL:sophia@sapower.co.za
WEBSITE:www.sapower.co.za
TRADE HEADING
AUTOMATION SYSTEMS & EQUIPMENT","462 8810
FAX; 704 5775
EMAIL","011-462 8810, 011-704 5775",sophia@sapower.co.za,
IPEC ELECTRICAL & PLUMBING,"ADDRESS:127 LAWN STREET,ROSETTVILLE,JOHANNESBURG,2009

CELL:078 384 9684

EMAIL:chenai2005@gmail.com

TRADE HEADING

ELECTRICAL CONTRACTORS","127 LAWN STREET,ROSETTVILLE,JOHANNESBURG,2009

CELL; 078 384 9684

EMAIL",078 384 9684,chenai2005@gmail.com,
ANDERSON VOGT 7 PARTNERS,"ADDRESS:1KEYMER ROAD,EASTLEIGH,EDENVALE,GAUTENG,1609
TEL:011-452 2838
FAX:011-452 2998
EMAIL;eng.design@iafrica.com
WEBSITE:www.engdt.co.za
TRADE HEADING
CONSULTING ENGINEERS","1609
TEL; 452 2838
FAX; 452 2998
EMAIL","011-452 2838, 011-452 2998",eng.design@iafrica.com,
NORTON ROSE SOUTH AFRICA,"ADDRESS:15 ALICE LANE,SANDTON,GAUTENG
TEL:011-685 8500
FAX:011-301 3200
TRADE HEADING
ATTORNEYS","15 ALICE LANE,SANDTON,GAUTENG
TEL; 685 8500
FAX; 301 3200
TRADE HEADING
ATTORNEYS","011-685 8500, 011-301 3200",,
RENAULT SOUTH AFRICA (PTY) LTD,"ADDRESS:12 ERNEST OPPENHEIMER ROAD,BRUMA,JOHANNESBURG,GAUTENG 
TEL:011-607 7300
FAX:011-607 7385
TRADE HEADING
MOTOR CAR & TRUCK DISTRIBUTORS","12 ERNEST OPPENHEIMER ROAD,BRUMA,JOHANNESBURG,GAUTENG 
TEL; 607 7300
FAX; 607 7385
TRADE HEADING
MOTOR CAR ","011-607 7300, 011-607 7385",,
MOTOR CAR & TRUCK DISTRIBUTORS,"ADDRESS:BRABAZON ROAD,CROYDON,KEMPTON PARK,GAUTENG
TEL:011-392 6263
FAX:011-392 6360
TRADE HEADING
MOTOR CAR & TRUCK DISTRIBUTORS","392 6263
FAX; 392 6360
TRADE HEADING
MOTOR CAR ","011-392 6263, 011-392 6360",,
LABOUR LAW MANAGEMENT CONSULTING,"Business Name		:	LABOUR LAW MANAGEMENT CONSULTING			
						
Physical Add.		:	4 OTTAWA AVENUE, ROBINDALE, JOHANNESBURG, GAUTENG			
						
						
Postal Add.		:	P O BOX 779, FONTAINEBLEAU, 2032			
		 				
						
Telephone No.		:	011 888 7944			
Fax No.		:	011 782 0664			
Cellular No.		:	082 8522 973			
E-Mail Add.			ivan@labourlawadvice.co.za			
Website Add.		:	www.labourlawadvice.co.za			
TRADE HEADINGS						
1) 	LABOUR LAW CONSULTANTS","4 OTTAWA AVENUE, ROBINDALE, JOHANNESBURG, GAUTENG			
						
						
Postal Add.		; 2032			
		 				
						
Telephone No.		; 011 888 7944			
Fax No.		; 011 782 0664			
Cellular No.		; 082 8522 973			
E-Mail Add.			ivan",,ivan@labourlawadvice.co.za,
ROOTH & WESSELS INC,"ADDRESS:ROOTH & WESSELS BUILDING,225 VEALS STREET,BROOKLYN,PRETORIA,GAUTENG
TEL:012-452 4000
FAX:021-346 7609
TRADE HEADING
ATTORNEYS","225 VEALS STREET,BROOKLYN,PRETORIA,GAUTENG
TEL; 452 4000
FAX; 346 7609
TRADE HEADING
ATTORNEYS","012-452 4000, 021-346 7609",,
ROOTH & WESSELS INC.,"ADDRESS:ROOTH & WESSELS BUILDING,225 VEALS STREET,BROOKLYN,PRETORIA,GAUTENG
TEL:012-452 4000
FAX:021-346 7609
TRADE HEADING
ATTORNEYS","225 VEALS STREET,BROOKLYN,PRETORIA,GAUTENG
TEL; 452 4000
FAX; 346 7609
TRADE HEADING
ATTORNEYS","012-452 4000, 021-346 7609",,
JUMBO CASH & CARRY (CROWN MINES),"ADDRESS:Cnr  Main Reef Road ,Entrance on Locomotive Road,Crown Mines,2025
Postal Address:P.O. Box 786,Crown Mines,2025
TEL:011 839 4440/7
FAX:011 839 4002
TRADE HEADING
CASH AND CARRY","2025
Postal Address; 2025
TEL; 011 839 4440; 7
FAX; 011 839 4002
TRADE HEADING
CASH AND CARRY","011 839 4440, 011 839 4002",,
JUMBO CASH & CARRY (GAUTENG HEAD OFFICE),"ADDRESS:19 Girton Road,Parktown,Johannesburg,2193
POSTAL:Private Bag x 9008,Crown Mines,2025
TEL:011 532 3600
FAX:086 611 8972 or 086 501 9933
TRADE HEADING
CASH & CARRY","19 Girton Road,Parktown,Johannesburg,2193
POSTAL; 2025
TEL; 011 532 3600
FAX; 086 611 8972 or 086 501 9933
TRADE HEADING
CASH ","011 532 3600, 086 611 8972",,
AVBOB (ALBERTON),"ADDRESS:52 CLINTON ROAD NEW RED RUTH
TELL:011-907 3233/4
TRADE HEADING
FUNERAL DIRECTORS & UNDERTAKERS","52 CLINTON ROAD NEW RED RUTH
TELL; 907 3233; 4
TRADE HEADING
FUNERAL DIRECTORS ",,,
HYPER PAINT (PTY)LTD,"ADDRESS:131 BOOYSENS ROAD,BOOYSENS,JOHANNESBURG,2071
TELL:011-493 5937
TRADE HEADING
HARDWARE-RETAIL","131 BOOYSENS ROAD,BOOYSENS,JOHANNESBURG,2071
TELL; 493 5937
TRADE HEADING
HARDWARE-RETAIL",,,
AVBOB (ALIWAL NORTH),"ADDRESS:7 SOMERSET STREET
TELL:051-633 3161
TRADE HEADING
FUNERAL DIRECTORS & UNDERTAKERS","7 SOMERSET STREET
TELL; 633 3161
TRADE HEADING
FUNERAL DIRECTORS ",,,
AVBOB (BEAUFORT-WES),"ADDRESS:123 DONKIN STREET
TELL:023-414 2216
TRADE HEADING
FUNERAL DIRECTORS & UNDERTAKERS","123 DONKIN STREET
TELL; 414 2216
TRADE HEADING
FUNERAL DIRECTORS ",,,
AVBOB (BENONI),"ADDRESS:97 HOWARD AVE
TELL:011-421 5842
TRADE HEADING
FUNERAL DIRECTORS & UNDERTAKERS","97 HOWARD AVE
TELL; 421 5842
TRADE HEADING
FUNERAL DIRECTORS ",,,
AVBOB (BOKSBURG),"ADDRESS:157 LEEUWPOORT STREET
TELL:011-917 5041
TRADE HEADING
FUNERAL DIRECTORS & UNDERTAKERS","157 LEEUWPOORT STREET
TELL; 917 5041
TRADE HEADING
FUNERAL DIRECTORS ",,,
AVBOB ( BRAKPAN),"ADDRESS:CNR PRINS GOERGE & DERBY AVE
TELL:011-740 0115
TRADE HEADING
FUNERAL DIRECTORS & UNDERTAKERS","740 0115
TRADE HEADING
FUNERAL DIRECTORS ",,,
AVBOB (BRONKHORSTSPRUIT),"ADDRESS:51A LANHAM STREET
TELL:013-923 3092/3
TRADE HEADING
FUNERAL DIRECTORS & UNDERTAKERS","923 3092; 3
TRADE HEADING
FUNERAL DIRECTORS ",,,
AVBOB (BURGERSFORT),"ADDRESS:30 EDDIE SEDIBE ROAD
TELL:013-231 8200
TRADE HEADING
FUNERAL DIRECTORS & UNDERTAKERS","30 EDDIE SEDIBE ROAD
TELL; 231 8200
TRADE HEADING
FUNERAL DIRECTORS ",,,
AVBOB ( CENTUROIN),"ADDRESS:17 KERSIEBOOM CRESENT,SWARTKOP X4
TELL:012-663 5008
TRADE HEADING
FUNERAL DIRECTORS & UNDERTAKERS","17 KERSIEBOOM CRESENT,SWARTKOP X4
TELL; 663 5008
TRADE HEADING
FUNERAL DIRECTORS ",,,
AVBOB (EDENVALE),"ADDRESS:AVBOB FORUM BUILDING 63 VAN RIEBEECK STREET
TELL:011-609 7003
TRADE HEADING
FUNERAL DIRECTORS & UNDERTAKERS","63 VAN RIEBEECK STREET
TELL; 609 7003
TRADE HEADING
FUNERAL DIRECTORS ",,,
MARANG FINANCIAL SERVICES,"TEL:011-781 3957
EMAIL:nokutulan@marangfinancial.co.za
TRADE HEADING
CASH LOANS
FINANCIAL SERVICES","781 3957
EMAIL",011-781 3957,nokutulan@marangfinancial.co.za,
INTERNATIONAL SLAB SALES,"ADDRESS:69 SERENADE ROAD ELANDSFONTEIN GERMISTON,GAUTENG
TEL:011-822 1350
FAX:011-822 1701
EMAIL:INFO@INTERSLAB.CO.ZA
TRADE HEADING
 WHOLESALER SUPPLIERS OF GRANITE,  MARBLE & ENGINEERED STONE SURFACES","69 SERENADE ROAD ELANDSFONTEIN GERMISTON,GAUTENG
TEL; 822 1350
FAX; 822 1701
EMAIL","011-822 1350, 011-822 1701",INFO@INTERSLAB.CO.ZA,
MARKALAO RECURITMENT,"ADDRESS:18 SWALLOW STREET,GERMISTON,GAUTENG
TEL:011-902 2590
FAX:086 558 2813
EMAIL:langa@markalaorecruitment.co.za
TRADE HEADING
RECRUITMENT","18 SWALLOW STREET,GERMISTON,GAUTENG
TEL; 902 2590
FAX; 086 558 2813
EMAIL","011-902 2590, 086 558 2813",langa@markalaorecruitment.co.za,
AC RECRUITMENT CC,"ADDRESS:214 MONUMENT ROAD,VILLA VALENCIA,GLEN MARAIS,KEMPTON PARK,GAUTENG
TEL:011-979 1053
EMAIL:BETTY.ACR@TELKOMSA.NET
TRADE HEADING
RECRUITMENT & LABOUR HIRE","214 MONUMENT ROAD,VILLA VALENCIA,GLEN MARAIS,KEMPTON PARK,GAUTENG
TEL; 979 1053
EMAIL",011-979 1053,BETTY.ACR@TELKOMSA.NET,
CORICRAFT (BEDWORTH CENTRE ),"ADDRESS:SHOP 16 BEDWORTH VALUE CENTRE ,CNR R42 (BARRAGE ROAD) AND THE R716,ASCOT ON VAAL,GAUTENG, 1939, SOUTH AFRICA 
016 985 5335 (Tel) 
016 985 5406 (Fax) 
EMAIL:bvmanager@coricraft.co.za 
TRADE HEADING
FURNITURE MANUFACTURERS & RETAIL","16 BEDWORTH VALUE CENTRE ,CNR R42 ; 016 985 5335 ; 016 985 5406 ",,bvmanager@coricraft.co.za,
AVBOB (GERMISTON),"ADDRESS:244 MEYER STREET
TELL:011-825 3667/8
TRADE HEADING
FUNERAL DIRECTORS & UNDERTAKERS","244 MEYER STREET
TELL; 825 3667; 8
TRADE HEADING
FUNERAL DIRECTORS ",,,
AVBOB (GROBLERSDAL),"ADDRESS:13 MARK STREET
TELL:013-262 2156
TRADE HEADING
FUNERAL DIRECTORS & UNDERTAKERS","13 MARK STREET
TELL; 262 2156
TRADE HEADING
FUNERAL DIRECTORS ",,,
