Name,Telephone,Fax,Cell,Address,Email,Website,Services
NORTH WEST UNIVERSITY (NWU),018-389 2111 FAX: 018-389 2375,018-389 2375,Not available,ALBERT LUTHULI STREET MMABATHO NORTH WEST,Not available,Not available,Not available
POLOKO FUNERAL SERVICES & COFFIN MANUFACTURERS,018-363 3157 EMAIL: polokotms@telkomsa.net,Not available,Not available,2443 MONNAMERE STREET LEHURUSHE INDUSTRIAL SITES LERATO,polokotms@telkomsa.net,Not available,& COFFIN MANUFACTURERS
H & F HYDRAULICS,014-596 6313 EMAIL: anton@hfhydraulics.co.za,Not available,Not available,28 BOSCH STREET RUSTENBURG,anton@hfhydraulics.co.za,Not available,Not available
MINI LOADS,014-592 4337 FAX: 086-610 9897,086-610 9897,Not available,MABE BUSINESS PARK 2 KQWEBO STREET RUSTENBURG,Not available,Not available,Not available
LIONEL MOTORS A DIV OFSUPER GROUP,014-592 1328 FAX: 014-597 1273 EMAIL: rina.leroux@supergrp.com WEBSITE: www.lionel-motors.co.za,014-597 1273 EMAIL: rina.leroux@supergrp.com WEBSITE: www.lionel-motors.co.za,Not available,45 NELSON MANDELA DRIVE RUSTENBURG 0299 POSTAL ADDRESS: P O BOX 52 RUSTENBERG 0300 | Postal: P O BOX 52 RUSTENBERG 0300,rina.leroux@supergrp.com,www.lionel-motors.co.za,Not available
PHILIP MOTORS WORKSHOP,018-771 2116 FAX: 018-771 2119,018-771 2119,Not available,9 PRESIDENT STREET FOCHVILLE,Not available,Not available,Not available
ZION-THABA CREATION CC,014-592 0100 FAX: 086-500 2397 EMAIL: zionthaba@mwebmail.co.za,086-500 2397 EMAIL: zionthaba@mwebmail.co.za,Not available,33 ARDISIA AVENUE GEELHOUT PARK RUSTENBURG,zionthaba@mwebmail.co.za,Not available,Not available
TCN INDUSTRIAL & GENERAL SUPPLIES,018-293 0952 FAX: 018-294 8414 EMAIL: tcn@telkomsa.net,018-294 8414 EMAIL: tcn@telkomsa.net,Not available,81 DU PLOOY STREET POTCHEFSTROOM,tcn@telkomsa.net,Not available,Not available
ISC MATLA (PTY) LTD,016-986 1189 FAX: 016-986 0540 EMAIL: harry@iscgroup.co.za,016-986 0540 EMAIL: harry@iscgroup.co.za,Not available,13 DAIMER STREET VANDERBIJILPARK NW 7 VANDERBIJILPARK,harry@iscgroup.co.za,Not available,Not available
ALWAYS COOL TECHNICAL SERVICES,018-468 8274 EMAIL: alwayscool.ola@webmail.co.za,Not available,Not available,4 WAYS CENTRE SHOP 9 10TH STREET KLERKDORP,alwayscool.ola@webmail.co.za,Not available,ADDRESS: 4 WAYS CENTRE SHOP 9 10TH STREET KLERKDORP
CAPACITY OUTSOURCING POLOKWANE,015 291 1794,Not available,Not available,6 HANS VAN RENSBURG STREET POLOKWANE 0699,Not available,Not available,Not available
MOLALE SECURITY SERVICES,018 477 1412 FAX 018 477 1412 CELL 084 8777 579 EMAIL molaleoj@telkomsa.net,018 477 1412 CELL 084 8777 579 EMAIL molaleoj@telkomsa.net,084 8777 579 EMAIL molaleoj@telkomsa.net,UMUZIMUHLE SHOPPING CENTRE OFFICE 3 VAAL REEFS | Postal: P O BOX 366 ORKNEY 2620,molaleoj@telkomsa.net,Not available,ADDRESS UMUZIMUHLE SHOPPING CENTRE OFFICE 3 VAAL REEFS
REMADE RECYCLE KLERKSDORP,No. : 018 462 4329 Fax No. : 018 462 4329 E-Mail Add. info@remadeco.za Website Add. : www.remade.co.za,No. : 018 462 4329 E-Mail Add. info@remadeco.za Website Add. : www.remade.co.za,Not available,"130 OR THAMBO, KLERK INDUSTRIA, KLERKSDORP",info@remadeco.za,Add. : www.remade.co.za,2) RECYCLING
A2A KOPANO INCORPORATED KING WILLIAMS TOWN,No. : 043 642 5636 Fax No. : 043 643 3582  E-Mail Add. : Website Add. : www.a2akopano.co.za,No. : 043 643 3582  E-Mail Add. : Website Add. : www.a2akopano.co.za,Not available,Not available,Not available,Add. : www.a2akopano.co.za,2) Corporate services / Taxation 3) Financial advisory services 4) Forensic accounting services
AIR PRODUCTS SA (Pty) Ltd - THABAZIMBI,No. : 014 772 2879 E-Mail Add. taylorg@airproducts.co.za,Not available,Not available,Not available,taylorg@airproducts.co.za,Not available,Not available
NESTLE - Potchefstroom Coffee Creamer Manufacturing Factory),Not available,Not available,Not available,Not available,Not available,Not available,Not available
MOSIANE DRIVING SCHOOL,No. : 018-3816583 Fax No. : 018 381 6583 Cellular No. : 071 879 3439 E-Mail Add. : MOSIANEOT@YAHOO.COM,No. : 018 381 6583 Cellular No. : 071 879 3439 E-Mail Add. : MOSIANEOT@YAHOO.COM,ular No. : 071 879 3439 E-Mail Add. : MOSIANEOT@YAHOO.COM,Not available,MOSIANEOT@YAHOO.COM,Not available,Not available
SUPREME AUTO MAFIKENG,No. : 018 381 3675 / 8 Fax No. : 018 381 0463 Cellular No. : E-Mail Add. : RECEPTION@SUPREMEAUTO.CO.ZA Website Add. : WWW.SUPREMEAUTO.CO.ZA,No. : 018 381 0463 Cellular No. : E-Mail Add. : RECEPTION@SUPREMEAUTO.CO.ZA Website Add. : WWW.SUPREMEAUTO.CO.ZA,ular No. : E-Mail Add. : RECEPTION@SUPREMEAUTO.CO.ZA Website Add. : WWW.SUPREMEAUTO.CO.ZA,Not available,RECEPTION@SUPREMEAUTO.CO.ZA,Add. : WWW.SUPREMEAUTO.CO.ZA,Not available
