Name,Category,Phone,Email,Description
Renico Construction2,Directory,011 794 1177,,"Renico Construction was established in 1998 when Nico Louw, at that time a partner in a successful West Rand Estate Agency, realised that the demand for housing in the area, particularly for the first time homeowner, was growing rapidly. Over the years, t..."
Central Development Property Group,Property Developers,083 656 5083 / 083 449 3694,,"Property Developer in Gauteng
Gauteng’s largest residential developer in our market segments for affordable housing. New Developments for Sale, Retirement &amp; Rentals.
Inception
Established in business since 2002. Our developments include rental comp..."
Old Mutual Life Assurance,Business Support,021 5092757,,"We offer a broad spectrum of financial solutions to retail and corporate customers across key markets in 14 countries.
Old Mutual can offer you and your business tailored advice that is designed to achieve your goals. Advice that delivers a financial pla..."
Mangaung Chamber of Commerce and Industry,Local Chambers,051 522 1710,,"There is an urgent need to make MCCI more relevant for its members and ensure that the MCCI is regarded by all as a relevant force in the local economy. The following key objectives of the MCCI are used as basis to determine the main focus, core business..."
Lemon & Lime Creative Studio,Finance & Business Services,072 348 7084,,
RuggaChick Productions,Online Marketing,,,
VIRI Media,Corporate Gifts & Branding,012 734 3028,,
Labour Law,Cullinan,012 309 4000,,
Pro TV and Appliances,Media,012 734 2454,,
Postnet,Finance & Business Services,011 207 2900,,
Momentum,Third Party,012 671 8911,,"Assurance:
Life assurance, trauma / disability assurance, income replacement assurance, bond assurance
Retirement planning:
Retirement annuities, provident funds, pensions funds, living annuities
Insurance:
Household, business interruption, vehicle,..."
Pieter-Momentum Planner,Financing,,,
Solutions 4,Human Resources,083 310 7680,,
Hutech international Group,Communications (ICT),012 343-1685,,"IT consultants are contracted to work with industrial and commercial clients who are seeking help and advice about business and IT problems. A typical project involves:&nbsp;

Consulting staff&nbsp;
Defining objectives&nbsp;
Determining information sy..."
RBO Funerals (pty) ltd,Funeral Services,012 734 5065,,
Mosekhu Investment Group,Energy,,,
Raboko WET,Finance & Business Services,,,
Marong rong cash loans,Finance,013 935 1228,,
Standard Bank Besigheids Bank,Finance,082 465  5957,,
Bezt Forex,Tax & Legal Consulting,011 867 1818,,"BeztForex (Pty) Ltd is a Foreign Exchange, Global Trade and Banking intermediary company.
We provide a wide spectrum of Foreign Exchange and Banking Solutions to Importers and Exporters in South Africa as well as to banks on the African Continent.
Our s..."
Enamen Consulting,Consulting & Strategies,011 806 1500,,
Yndi40 Projects,Communications (ICT),,,
ShopFomo,Consulting & Strategies,083 441 3014,,
Mingeomet,Consulting & Strategies,,,
My Go Ideas (Pty) Ltd (Member),Finance & Business Services,,,
All Star Placements,Cullinan,062 483 6676,,
Elite Recoveries Gauteng Pty (Ltd),Accounting,071 659 2509,,
Rusoord,Preventative Care,012 664 5835,,
Rayton Optometrist,Health & Medical,012 734 5700,,
Le Earley Hair & Beauty Salon Nail Bar,Health & Medical,,,
DG Lab Services,Cullinan,011 397 2899,,
NETHERLANDS EMBASSY,Embassies,012 425 4500,,
Kingdom Of Morocco Embassy,Embassies,012 343 0230,,
Embassy : Argentine Republic,Embassies,012 430 3513,,
Embassy of Cuba,Embassies,021 346 2215,,
Embassy of the Sultanate of Oman,Embassies,Embassy of the Sultanate of Oman,,
Nigerian Embassy,Embassies,012 342 0905,,
Embassy : Eritrea,Embassies,012 333 1302,,
RUSSIAN FEDERATION Embassy,Government Services,012 362 1337,,
A2Pay & Sparesboyz,Sector Support,,,
South African Property Owners Association SAPOA,Infrastructure & Construction,011 883 0679,,
JDS Creations,Building Services,,,
Raw Solutions,Building Services,0703 656 6797,,
Amakhosi Amahle Projects(Pty)Ltd,Cullinan,,,
Oda Property Holdings,Building Services,,,
K2015116846 (SOUTH AFRICA) (Pty) Ltd,Infrastructure & Construction,,,
TJ PROFFESIONAL,Construction,076 5228 737,,
Steel & Construction,Construction,010 786 0282,,
Sethitho Projects,Manufacturing,072 723 4907,,
Rhalane Construction,Construction,,,
Phahlo Trading Enterprise (Pty) Ltd,Infrastructure & Construction,013 265 1789,,
Mathamago Constructions,Construction,,,
Gomba Building,Cullinan,,,
Africa Moon Trading,Cullinan,,,
Ethandwayo General Trading,Construction,0606479262.,,
Elmarie Moss-Dormehl,Renovations & Maintenance,082 920 4929,,
LJ Maintenance Masters,Renovations & Maintenance,084 569 9258,,"About Us
We are experienced handymen and maintenance experts willing to take all your home maintenance needs into our hands. We specialize&nbsp;in general residential maintenance, minor home improvement projects, plumbing and home security systems. T..."
A-Z Gauteng Plumbing (Pty) Ltd,Centurion Business Forum,011-888 9998,,
Voxfire,Centurion Business Forum,012-653 5866,,
Ibert (PTY) LTD,Architects,010 5908373,,
Murray Smith Architects,Architects,082 332 9466,,
3 Point Architects,Professional Services,012 460 9182,,
JHI PROPERTIES,Developers,011 911 8000,,
Resilient,Property Developers,011 612 6800,,
Real one Real Estate,Estate Agents,083 250 3130,,
Earle Agencies,Professional Services,,,
Rockern Projects,Professional Services,012 803 8761,,
NAFCON TSHWANE,Property Management,011 807 5063.,,
Kaofela Quantity Surveyors,Professional Services,010 549 1234,,
VAL-Co Property Valuers,Infrastructure & Construction,012 348 8643,,
Thokad Group (PTY)LTD,Property Developers,,,
Roda Management,Property Developers,012 755 9624,,
Sufficient GrageTrading,Property Developers,,,
Leapfrog,Property Developers,012 997 3899,,
McCormick Property Development,Developers,: 012 654 6330,,
Delta Development (Pty)Ltd,Infrastructure & Construction,072 554 0632,,
Sinovitch Group,Property Developers,012 347 5010,,
Shapiro Group,Developers,012 346 4350,,
Shant Holdings,Property Developers,,,
Pienaar Property Developments,Property Developers,,,
Whleisure Group,Developers,,,
JT Group,Developers,,,
iThemba Properties,Property Developers,087 330 0005,,
Twin City,Property Developers,012 460 9226,,
The Regency,Developers,012 111 9292,,
Stabilizer,Developers,,,
5KG,Property Developers,010 060 1555,,
Mesure,Developers,011 492 1740,,
Property Coza Centurion West,Developers,011 568 4513,,
Nethold,Property Developers,012 3642555,,
Mradi Project Controls Solutions,Infrastructure & Construction,083 609 0180,,
Robprop,Property Developers,011 706 7030,,
Respublica,Developers,0100 200 300,,
Raudev,Property Developers,011 794 9390,,
Prop Developments,Property Developers,,,
Lingana Properties,Developers,012 325 6184,,
Lapalaka Property Projects,Infrastructure & Construction,011 706 5391,,
Landman Properties,Developers,083 381 2908,,
Irene Land Corporation,Property Developers,082 900 4209,,
Growthpoint,Property Developers,011 944 6000,,
Gro Properties,Property Developers,012 347 8400,,
G5 Properties,Developers,010 060 1555,,
Faircity,Developers,011 429 2600,,
D-Kon Properties,Property Developers,012 346 6031,,
Craft Homes,Developers,011 510 9999,,
Cosmopolitan Projects,Developers,010 045 9000,,
Encha Property Services,Property Developers,"175 Lunnon Rd, Hillcrest, Pretoria",,
Emira Property Fund,Property Developers,011 028 3100,,
CIH,Property Developers,012 348 5654,,
Bothongo Group,Developers,012 320 4421,,
Badec Bros,Property Developers,086 132 2332,,
Accura Development Management,Property Developers,082 411 2898,,
Waterford Bridge Property Group,Property Developers,083 7019 845,,"Our Vision &amp; Mission
Deeply rooted in property, primarily residential, we are embarking on an exciting journey together with the aim of becoming a Property Development and Service company of excellence.We pay attention to the finest detail and we put..."
Trencon Construction,Building Services,011 451 8000,,
Invicta Construction,Building Services,012 332 3495,,
Paint Wise Centurion,Building Services,012 653 5206,,
Desere S Qu Lity Furniture,Infrastructure & Construction,012 541 1543,,
Fire and Security Techniques,Fire Alarm Systems,012 621 9400,,
Amalembe Construction & Projects,Finance & Business Services,081 357 5964,,Construction development and fuel supply.
Semarium Projects,Construction,079 891 9269,,"The consultation firm is&nbsp;spearheaded by two building managers with combined construction and management experience of more than 40 years.
&nbsp;
We are a&nbsp;consultation&nbsp;firm&nbsp;in the residential, commercial,&nbsp;industrial and agricultu..."
CBF Academy,Technology,087 803 3787,,"The CBF Academy was established to alleviate the void in affordable education. Thus impacting lives through constant education, whilst making it affordable for both companies to also train their staff continuously, as well as for individuals looking to co..."
Irhalanae Construction cc,Construction,013 932 5148 /086 571 1416,,"halane Construction cc (Bronkhorstspruit) is listed on our site as an industry related company's branch. Their Contact information is here due to an association with the Lead information we provide. This includes, but is not limited to Private Constructio..."
C-Pro Construction,Construction,012 809 4129,,
Tranacon Construction,Building Services,082 318 7699,,
MBK Mogotsi Construction,Building Services,(012) 546-6470,,
GN Air,Building Services,012 653 8622,,
Fundani Tourism,Tourism & Events,081 403 1279,,
Go Get It Logistics cc,Travel,012 932 3893,,
Khempi-Maleke shuttle services,Shuttle Services,076 3457 708,,
Green Bush Pig,Safaris,083 576 5935,,
Areyeng,Travel,012 358 4848​​,,"The Municipality was established on 5 December 2000 through the integration of various municipalities and councils that had previously served the greater Pretoria regime and surrounding areas.​ On 28 May 2008, a proclamation through the Government G..."
Bronberg Landgoed,Conferencing,076 452 6182,,
Cullinan Diamond Lodge,Tourism & Events,012 734 2255,,
Casablanca Manor,Functions & Events,012 940 8184,,
The Snackery,Retail,073 312 2444,,
DFIStudio7,Tourism & Events,078 141 7969,,
Elephant Sound and Lighting Productions,Audio Visual,084 557 1179,,"Elephant Sound and Lighting Productions (Pty) Ltd. is a technical services and production company based in Pretoria, Gauteng, South Africa. We provide high end Sound, Lighting, Musical Instruments, Staging and Audio Visual systems, for any type of event i..."
Monument Restaurant,Restaurants,012 321 6230,,
John Dory's Wonderpark - Fish Grill Sushi,Food & Beverage,012 549 0404,,
Tin Roof Café,Food & Beverage,084 821 3555,,
Cullinan Trading Post,Restaurants,082 787 6824,,
Cullinan Golf Club,Tourism & Events,012 734 1078,,
Steers,Food & Beverage,013 935 1362,,
Rogany's Indian Cuisine,Tourism & Events,079 709 8580,,
Forthmac Enterprise,Food & Beverage,081 755 9370,,
Whispering Oaks,Food & Beverage,073 230 4500,,
Gems on Oak,Restaurants,072 7234 907,,
Jovem Holdings PTY (Ltd) t/a Captain DoRegos Lydenburg,Restaurants,072 2249 840,,
Toeka Se Spens/ Crystal+ Gift shop,Food & Beverage,,,
Studio14 Bistro,Food & Beverage,084 254 3495,,
Cockpit Brewhouse,Tourism & Events,066 270 9153,,
The Village Wine Tasting Room,Liqour Distributors,071 742 1844,,
Big Mama Tavern,Catering,011 984 1592,,
Courtyard Hotel Arcadia,Hotels,012 342 4940,,
Morning Star Express Hotel,Functions & Events,012 442 0600,,"Welcome to&nbsp;Morning Star Express Hotel&nbsp;in Pretoria. We are extremely proud of our modern, convenient and affordable accommodation, which is ideal for business guests, stopovers, and short stay travellers.
Situated in the heart of the beautiful J..."
Palms Boutique Hotel,Hotels,083 794 6339,,
Misty Mountain,Hotels,083 794 6339,,
Amani Boutique Hotel and Conference centre,Hotels,013 235 1578,,
Ula Guesthouse,Guest Houses,012 991 8221,,
Noxolo Quest House,Guest Houses,078 183 0895,,
Tours 2 Moz (Member),Safaris,+27 71 462 4271,,We offer a unique experience to tourist and potential tourist by making Mozambique affordable and reachable. Tours2Moz tailor-makes a tour to your requirements and relaxation needs. We have a 4x4 VW 7 Seater bus to assist where required. Assisted Tours Se...
Orania Beweging (Member),Lodges,053 207 0062,,"Orania lewe! Dit lewe van entoesiasme en ondernemingsgees. Meer nog, dit lewe, want hier woon mense. Die dorp wat vroeër deur die Departement van Waterwese gebou is en jare leeg gestaan het, is vandag wêreldwyd bekend as tuiste van Afrikaners.
OMGEWING..."
Rosetoli Guest House,Accommodation,079 839 3479,,
Cullinan Diamond Lodge,Accommodation,(012)734 2255,,"About us
Cullinan Diamond Lodge still reflects the unique ambience of this little mining town, just east of Pretoria.
Apart from the 28 stylish twin rooms, it also hosts a restaurant.
Cullinan Diamond Lodge not only offers luxurious accommodation for o..."
Louvre Guesthouse,Accommodation,056 515 3549,,
Nutzen Networks,Network Set-up & Security,076 501 3126,,
Innovative People Zone,Communications (ICT),(012) 349-2462,,"About Us&nbsp;
The Innovative People was established 2006 by Winstone Jordaan (BScH) and Johan Viljoen (Hons. BCompt). Together Winstone and Johan, recognized the need for a company that would develop software and recoup revenues as annuity incomes or re..."
606 Truck,Manufacturing & Logistics,083 675 4178,,
Centurion Aerospace Village,Aerospace,012 662 5379,,
Artic Glas,Manufacturing & Logistics,012 533 7301,,
Roelf Kruger Auto Repairs,Manufacturing & Logistics,012 734 5002,,
Isazi Propshaft (Pty) Ltd,Cullinan,012 327 6007,,
FHAM Logistics,Cullinan,079-720-9884,,
S4 Integration,Engineering,081 483 1438,,
Orange Auto (PTY) LTD,Automotive,08 2452 8813,,"""You Drive We Sell ""concept was started by the van der Veen, father and son combination.&nbsp;Sharing motor industry experience in excess of 40 years, they are able to assist you with the best advice during the process of selling your car.&nbsp;Based in P..."
Shatterprufe,Automotive,012 309 0665,,
"University of the Witwatersrand, Johannesburg",Research & Knowledge,011 717 1000,,
Heideland,Research & Knowledge,012 660 0241,,
In Cloud Learning Solutions,Online Training,079 893 8036,,
ABBOTTS College,Research & Knowledge,012 809 1208,,
Brainwave Learning Academy,Research & Knowledge,012 320 8830,,
St Alban's College,Research & Knowledge,012 348 1221,,
Queenswood Christian College,Research & Knowledge,012 331 8274,,
Prudency College,Research & Knowledge,012 3286 174,,
Parklands College,Research & Knowledge,013 932 5497,,
Meridian College,Research & Knowledge,012 800 4070,,
Greenwood College,Research & Knowledge,012 326 1141,,
Florauna Akademie,Research & Knowledge,012 567 6793,,
Confidence College (Good Samaritan),Research & Knowledge,012 324 1212,,
Christian Brothers' College Mount Edmund,Research & Knowledge,012 804 1801,,
Charlton Vos College Of Education,Research & Knowledge,012 542 1246,,
Capital Tutorial College,Research & Knowledge,012 343 9797,,
Bastion College,Research & Knowledge,012 651 2251,,
Assumption Convent School,Research & Knowledge,012 565 5234,,
Al Ghazali College,Research & Knowledge,012 370 1049,,
National Auto Glass Mashishing,Automotive,013-235 4906,,
H2O Centurion,Retail,012 653 2335,,
Moto Shed Simple Tradesman,Wholesalers,,,
Toeka se Spens / Crystal & Gift Shop,Wholesalers,(076) 766 3550,,
Van Der Bank Jewellers,Retail,012 663 4304,,
SDTC (Pty) Ltd,Retail,011 594 1325,,
Cell C,Retail,084 694 0031,,
Wooden it be nice,Retail,084 618 0012,,
The Art of Silver,Retail,072 432 1894,,
Rust in White,Retail,012 734 1583,,
Sinoville Vleismark,Retail,012 566 3707,,
Subtropico,Retail,012 460 9910,,
Hirsch's Silverlakes,Retail,012 001 2640,,
House Of Superior Clothing,Wholesale & Retail,012 362 1968,,
The Sixth Goblet,Shopping Centre,079 9639 349,,
Cullinan Junction Shops,Retail,081 5843 843,,
BCE Batsumi CE (PTY) LTD,Retail,013 235 1177,,
Toptiles,Building Suppliers,074 114 4071,,
Oranje Toyota,Servicing,087 350 6420,,
Anglo American,Mining,012 683 7000,,
Minerals Council South Africa,Platinum,011 498 7100,,
"Hluma Minerals, Mining South Africa",Platinum,: 012 003 1560,,
The Drain Dr,Plumbing,086 175 8623,,
Moodie Loodgieters,Renovations & Maintenance,(012) 993-5776,,"Moodie Loodgieters&nbsp;is gebaseer in die oostelike voorstede van Pretoria en werk regoor Suid Afrika, veral in die Limpopo Provinsie, Mapumalanga en Gauteng. Ons spesialiseer in konstruksie loodgieterswerk, maar het ook 'n instandhoudingsbeen, sowel as..."
iPlumbing,Plumbing,012 330 2008,,
Florri Electrical Contractors,Electrical,011 953 1957,,
Keller Williams Realty,Building Automation,082 220 8915,,
Tombfu Tombstones,Building Automation,013 235 2230,,
Cranefield College,Colleges,012 807 3990,,
Upex Trading,Physiotherapist,060 348 4532,,
Inspiril Marketing Solutions,Market Research,012 881 1339,,
Signarama Gezina,Finance & Business Services,012 761 0100,,SIGNARAMA Gezina&nbsp;is your full service sign centre. We use the latest technology and highest quality products to produce custom signs for your business. SIGNARAMA Gezina has been servicing businesses in the Pretoria as well as all over Gauteng since 2...
LabourNet,Payroll,012 991 1445,,
Rensmed Healthcare,Health & Medical,071 681 3444,,
Antiques and Collectables,Health & Medical,(083) 458 2648,,
CJG Consulting (Pty) Ltd,Business Support,010 065 0788,,
KruKon CC,Consulting & Strategies,013 235 0011,,
ML Konsultante Pty (Ltd),Business Support,071 286 9442,,
Centurion Tax and Accounting,Accounting,087 234 8493,,
Hiepgro,Accounting,0861 443 7476,,
De Jager en Genote,Auditors,012 313 9423,,"We provide services within the Finance field as well as in Accounting. Key Services: Accounting, Tax, Auditing, Finances, Legal advice, Tshwane/Pretoria, Villieria."
Alpha Group,Financing,082 441 3368,,
Waterberg Sakekamer Business Chamber,Limpopo,014 007 0572,,"The Waterberg Afrikaans Chamber of Commerce is ‘n non-political business organisation which accommodates al ramifications of the corporate framework.
All members of the Chamber are treated equally.&nbsp; The size of the business or enterprise is not a..."
East Rand Chamber of Commerce & Industry,Gauteng,011 814 7111,,The East Rand Chamber of Commerce is a creative organisation specializing in tailored membership solutions for businesses who seek a long-term partner to improve their ROIOur success is rooted in our member relationships and our hands-on approach to custo...
Golden Triangle Chamber of Commerce,Gauteng,071 623 9608,,MORE ABOUT US / MEER OOR ONS The Golden Triangle Chamber of Commerce is a multi-sectorial business organization that has won several awards over the past 50 years. It has been awarded the Best Business Chamber in South Africa award for THREE consecutive y...
Tshwane Chamber of Commerce and Industry (TCCI),Gauteng,,,"A proud history of Commerce in Pretoria is in fact the history of Pretoria itself and to a large extent that of the Province and of South Africa.
On 24 August 1891 a number of businessmen of the Capital of the Transvaal Republic met and decided to form t..."
Rand Besigheidsforum,Gauteng,082  900 5350,,
NAFCOC,Gauteng,011 807 5063,,The National African Federated Chamber of Commerce and Industry (NAFCOC) is federated chamber .It is one of the largest business chambers in South Africa with representation in all 9 provinces of South Africa. It was established in 1964 by black traders i...
Midvaal Sakekamer,Gauteng,0833 057 570,,
Magaliesburg Business Chamber,Gauteng,0836 009 965,,
Centurion Business Forum,Gauteng,012 664 6559,,"About UsVisionTo create a warm, friendly networking platform and a dynamic presentation that transfers business knowledge, in order to support financial growth.
MissionTo care for our fellow-members &amp; facilitate competent business choices in order to..."
Diamond Chamber of Commerce,Gauteng,012 305 2501,,"We are a company which carries a task to help other companies grow, and further increase membership. We like to see DCC grow out of Dinokeng area. We help companies engage with each other."
RavCom Business Chamber,Associated Partnerships,'082 397 0652,,
Hoedspruit Chamber of Commerce,Associated Partnerships,0726 980 515,,"The Chamber was established at a community meeting in 2012 noting the need to have a membership based association&nbsp;representing the direct needs of the business and indirect impact on the broader community. With a diverse range of stakeholders, there..."
Soutpansberg Sakekamer,Limpopo,,,Ensuring a Future.The Chamber represents the business sector to ensure the creation of wealth in the community to ensure a future for all people of the local and surrounding economies. This is achieved through a-political efforts to promote good corpora...
South African Council For Business Women (SACBW),Associated Partnerships,0824582478,,
Olievenhoutbosch Business Forum,Gauteng,071 941 0545,,"What we offer
NetworkingAs an entrepreneur, networking is a key activity that is not only fun, but critical to your personal growth and business development. Small business is all about networking, building relationships and taking action.
It’s natural..."
Ndahekelekwa  (Pty)  Ltd,Manufacturing & Logistics,079 405 0957,,
Barney M,Manufacturing & Logistics,082 391 3921 /083 957 5952,,
Kego and Associates,Manufacturing & Logistics,,,
Fifi Construction & Project (PTY) LTD,Directory,071 279 0659,,
Mphene Construction & Cleaning Service,Construction,066 112 9165,,
Moloko Tabudi Civil  Construction and Projects,Infrastructure & Construction,079 329 9820,,
Stigga Construction& Projects,Infrastructure & Construction,076 285 0169,,
Ditaba  Mmago Community Engineering & Construction (PTY...,Infrastructure & Construction,060 865 3145,,
AM Kate Trading & Projects (PTY) Ltd,Directory,,,
Sihabo Trading Enterprise  (PTY) LTD,Infrastructure & Construction,082 587 5845,,
Tswelopele Business Development Forum,Gauteng,079 329 9820,,"Tswelopele Business Development Forum (TBDF), is a non-profit membership organisation and the driving force fuelling small business growth throughout the African continent. The real purpose behind the organisation is fostering the sustainability and growt..."
Style Africa Paving & Cladding,Infrastructure & Construction,076 688 6641/ 065 890 9771,,
BNP Projects,Infrastructure & Construction,082 267 9053/ 081 250 9945,,
Mmapatinyana AND Associates (PTY) LTD,Infrastructure & Construction,060 665 1770,,
Kufuma Ishungu Construction and Project (PTY) LTD,Infrastructure & Construction,079 030 4108,,
TNC Tswelopele Civil Company,Manufacturing & Logistics,064 667 2419,,
Roodepoort Chamber Of Commerce & Industry  (ROCCI),Gauteng,010 595 9644 /082 574 3505,,"The Roodepoort Chamber of Commerce and Industry (ROCCI)&nbsp;started in 1983, serving the business sector and community for over 4 decades. Situated in the community of Region C, of the Greater Johannesburg Metropolitan Area.&nbsp; ROCCI has established a..."
Randburg Chamber of Commerce and Industry,Gauteng,086 101 9218,,"Randburg Chamber of Commerce and Industry
- Protects the interests of business in the region, promote the private enterprise system and market-orientated approach with equal opportunities for all while assisting businesses to adapt to realities that cann..."
African Badge Manufacturing,Steel,072 484 9127,,
Tiendlen Multipurpose Co-oparative LTD,Manufacturing & Logistics,076 326 1201/  083 341 0836,,
That Thing Trading,Agriculture & Environment,066 112 9165,,
Ibhayi Small Business Chamber,Associated Partnerships,084 400 3890,,"If you own a business, manage a business or work for a business in Port Elizabeth, you need to join the iBhayi Small Business Chamber.
We will focus particularly on reducing red tape, the supply of financing, and opening up access to markets. Members can..."
George Business Chamber,Western Cape,044 8743349 / 083 303 7801,,"George Business Chamber was established in 2002 when the George Chamber of Commerce and Industry and the George Sakekamer amalgamated and became the George Business Chamber. In 2015, the George Business Chamber NPC Southern Cape was formally registered as..."
Mieliehoofstad Sakekamer,Free State,082 9581 897/056 515 1071,,
Fgf Chamber Of Business,Free State,051 943 0594 / 083 408 2320,,"To be a positive link between business and statutory organizations. To add value to our Business and our Town, To promote and protect business in the Goldfields. To promote and encourage positive publicity about the Goldfields. To promote and maintain hig..."
Albertinia Sakekamer,Western Cape,0836 042 108,,
